acronym,full_term,civilian_explanation,branch,category
1SG,first sergeant,first sergeant,army,rank
3M,maintenance program,maintenance program,navy,acronym
3MA,Maintenance Program Manager,Maintenance Program Manager,navy,acronym
3MC,Maintenance Coordinator,Maintenance Coordinator,navy,acronym
A1C,airman first class,airman first class,usaf,rank
AAFES,military retail,military retail,general,facility
AAR,After Action Report,Post-event analysis and lessons learned,general,communication
AB,airman basic,airman basic,usaf,rank
ABCT,armored brigade combat team,armored brigade combat team,army,acronym
ACC,Air Combat Command,Air Combat Command,usaf,organization
ACE,aviation combat element,aviation combat element,usmc,acronym
ACFT,combat fitness test,combat fitness test,army,training
ACO,Airspace Control Order,Air traffic management directive,general,aviation
ACSC,Air Command and Staff College,Air Command and Staff College,usaf,organization
ADCON,Administrative Control,Administrative authority,general,operations
ADLS,advanced distributed learning,advanced distributed learning,usaf,acronym
ADMIN,administration,administration,navy,acronym
AE,Architect-Engineer,Design professional / design firm,general,engineering
AEF,Air Expeditionary Force,Air Expeditionary Force,usaf,acronym
AEHF,Advanced Extremely High Frequency,Secure military satellite communications,general,space
AETC,Air Education and Training Command,Air Education and Training Command,usaf,organization
AEW,Air Expeditionary Wing,Air Expeditionary Wing,usaf,acronym
AF,usaf,usaf,usaf,acronym
AFCYBER,Air Forces Cyber,Air Force cybersecurity unit,usaf,cyber
AFGSC,Air Force Global Strike Command,Air Force Global Strike Command,usaf,organization
AFI,Air Force instruction,Air Force instruction,usaf,acronym
AFIMS,information management system,information management system,usaf,system
AFMAN,Air Force manual,Air Force manual,usaf,acronym
AFMSA,Air Force Medical Support Agency,AF healthcare support organization,usaf,medical
AFOSI,Air Force Office of Special Investigations,Air Force law enforcement and CI agency,usaf,intelligence
AFPC,Air Force Personnel Center,AF human resources center,usaf,admin
AFPD,Air Force policy directive,Air Force policy directive,usaf,acronym
AFRC,Air Force Reserve Command,Air Force Reserve Command,usaf,organization
AFRICOM,Africa Command,Africa Command,general,organization
AFSC,career field specialty code,career field specialty code,general,acronym
AFSOC,Air Force Special Operations Command,Air Force Special Operations Command,usaf,organization
AFSPC,Air Force Space Command,Air Force Space Command,usaf,organization
AGM,Air-to-Ground Missile,Aircraft-launched surface attack missile,general,aviation
AHLTA,Armed Forces Health Longitudinal Technology Application,electronic health records system,general,medical
AIM,Air Intercept Missile,Aircraft-launched air-to-air missile,general,aviation
AIRDET,aviation detachment,aviation detachment,navy,acronym
AIRLANT,air forces Atlantic,air forces Atlantic,navy,acronym
Airman,team member,team member,general,acronym
airmen,personnel,personnel,general,acronym
AIRPAC,air forces Pacific,air forces Pacific,navy,acronym
AKO,Army knowledge portal,Army knowledge portal,general,acronym
ALC,Advanced Leader Course,Mid-level supervisor course,army,training
ALCON,All Concerned,all stakeholders / all recipients,general,admin
ALMAR,all Marines message,all Marines message,usmc,acronym
ALMIS,asset logistics management,asset logistics management,uscg,acronym
ALS,Airman Leadership School,Airman Leadership School,usaf,acronym
AMC,Army Materiel Command,Army Materiel Command,army,organization
AMEDD,Army Medical Department,Army healthcare organization,army,medical
ammo,ammunition,ammunition,general,acronym
AMN,airman,airman,usaf,rank
AMRAAM,Advanced Medium-Range Air-to-Air Missile,advanced air defense system,general,aviation
AMSCO,Army Management Structure Code,Army budget classification code,army,financial
AMXS,aircraft maintenance squadron,aircraft maintenance squadron,usaf,acronym
ANAM,Automated Neuropsychological Assessment Metrics,Cognitive baseline testing tool,general,medical
ANG,Air National Guard,Air National Guard,usaf,acronym
AO,Authorizing Official,Security certification decision authority,general,cyber
AOPS,assistant operations officer,assistant operations officer,navy,acronym
AOR,area of responsibility,area of responsibility,general,acronym
APFT,Army Physical Fitness Test,Physical fitness assessment,army,training
APL,Allowance Parts List,Authorized parts list per equipment,navy,technical
APOD,Aerial Port of Debarkation,Military air cargo receiving terminal,general,logistics
APOE,Aerial Port of Embarkation,Military air cargo departure terminal,general,logistics
AR,Army regulation,Army regulation,army,acronym
ARCYBER,Army Cyber Command,Army cybersecurity operations command,army,cyber
ASEV,aircrew standardization evaluation,aircrew standardization evaluation,usaf,acronym
ASG,Area Support Group,Regional logistics support unit,army,logistics
ASP,Ammunition Supply Point,Ammunition storage and distribution facility,general,logistics
ASR,alternate supply route,alternate supply route,army,acronym
ASR,Alternate Supply Route,backup transportation route,general,operations
ATC,training center,training center,uscg,training
ATG,Afloat Training Group,External readiness assessment organization,navy,organization
ATO,Authority to Operate,System security certification,general,technical
AtoN,Aids to Navigation,Managed/maintained navigation aids and compliance processes to support safe maritime operations.,uscg,operations
ATON,aids to navigation,aids to navigation,uscg,acronym
ATTRS,training requirements system,training requirements system,army,system
AUXO,auxiliaries officer,auxiliaries officer,navy,acronym
AWC,Army War College,Senior officer strategic school,army,training
AWC,Air War College,Air War College,usaf,acronym
AWP,parts shortage,parts shortage,navy,acronym
BA,Budget Activity,Budget sub-category,general,financial
BAH,Basic Allowance for Housing,Housing stipend,general,admin
barracks,residential quarters,residential quarters,general,facility
BAS,Battalion Aid Station,Forward field medical clinic,army,medical
BAS,Basic Allowance for Subsistence,Food allowance,general,admin
BCA,fitness standards assessment,fitness standards assessment,navy,training
BCD,Base Civil Development,Installation construction planning,general,engineering
BCE,Base Civil Engineer,base facilities manager,usaf,engineering
BCT,brigade combat team,brigade combat team,army,acronym
BDA,Battle Damage Assessment,Post-event effectiveness evaluation,general,operations
BDE,brigade,brigade,army,acronym
BDE S1,Brigade S-1 (Personnel/HR Section),"Brigade-level human resources office responsible for personnel actions, records, and administrative support.",army,administration
BDE S2,Brigade S-2 (Intelligence Section),"Brigade-level intelligence office responsible for threat analysis, briefings, and situational awareness.",army,intelligence
BDE S3,Brigade S-3 (Operations Section),"Brigade-level operations office responsible for planning, coordinating, and tracking operational execution.",army,operations
BDE S4,Brigade S-4 (Logistics Section),"Brigade-level logistics office responsible for supply, transportation, and sustainment planning.",army,logistics
BEQ,enlisted lodging,enlisted lodging,general,facility
berthing,crew quarters,crew quarters,general,facility
BES,Budget Estimate Submission,Annual budget request package,general,financial
billeting,lodging,lodging,general,facility
BLC,Basic Leader Course,First-line supervisor course,army,training
BLUF,Bottom Line Up Front,key takeaway first / executive summary first,general,admin
BLUFOR,friendly force,friendly force,army,acronym
BM,boatswain's mate,boatswain's mate,navy,rating
BMOW,bridge watch supervisor,bridge watch supervisor,navy,acronym
BN,battalion,battalion,army,acronym
BN S1,Battalion S-1 (Personnel/HR Section),Battalion-level HR office handling personnel actions and administrative processing.,army,administration
BN S2,Battalion S-2 (Intelligence Section),Battalion-level intelligence office providing threat updates and reporting.,army,intelligence
BN S3,Battalion S-3 (Operations Section),"Battalion-level operations office coordinating plans, training schedules, and mission execution.",army,operations
BN S4,Battalion S-4 (Logistics Section),"Battalion-level logistics office coordinating supply, maintenance support, and sustainment.",army,logistics
BN S6,Battalion Communications/IT Section,"Unit communications/IT office responsible for networks, radios, and technical support at battalion level.",army,staff_section
BOD,Basis of Design,Design requirements document,general,engineering
BOL,BUPERS Online,Navy personnel self-service portal,navy,admin
BOLC,Basic Officer Leader Course,New Army officer training,army,training
BOQ,officer lodging,officer lodging,general,facility
bridge,control center,control center,general,acronym
BSA,Budget Sub-Activity,Detailed budget line,general,financial
BSB,brigade support battalion,brigade support battalion,army,acronym
bulkhead,wall,wall,general,facility
BUMED,Bureau of Medicine and Surgery,Navy medical headquarters,navy,organization
BUPERS,Bureau of Naval Personnel,Navy HR headquarters,navy,organization
BX,retail store,retail store,general,facility
C2,Command and Control,Centralized management and direction,general,cyber
C4ISR,Command Control Communications Computers Intelligence Surveillance Reconnaissance,Integrated command and information systems,general,technical
CAB,combat aviation brigade,combat aviation brigade,army,acronym
CACO,casualty assistance officer,casualty assistance officer,navy,acronym
CAFSC,control specialty code,control specialty code,usaf,acronym
CAG,Commander Air Group,air wing commander,navy,aviation
CAMS,maintenance system,maintenance system,usaf,system
CANTRAC,training catalog,training catalog,navy,training
CAS,Close Air Support,Direct air assistance to ground forces,general,operations
CASEVAC,Casualty Evacuation,Emergency medical transport,general,operations
CASREP,equipment casualty report,equipment casualty report,navy,acronym
CBRN,chemical/biological/radiological/nuclear defense,chemical/biological/radiological/nuclear defense,general,acronym
CBT,computer-based training,computer-based training,general,training
CC,commander,commander,usaf,rank
CCC,Captains Career Course,Mid-grade officer professional school,army,training
CCC,command career counselor,command career counselor,navy,organization
CCIP,commander's inspection program,commander's inspection program,usaf,organization
CCIR,Commanders Critical Information Requirements,Priority information needs,general,planning
CCRI,Command Cyber Readiness Inspection,Cybersecurity compliance audit,general,cyber
CD,deputy commander,deputy commander,usaf,rank
CDC,Combat Direction Center,Tactical command center,navy,operations
CDM,Continuous Diagnostics and Mitigation,Ongoing security monitoring program,general,cyber
CDO,Command Duty Officer,Senior on-site manager (after hours),navy,operations
CDR,Commander,"Organizational leader accountable for operations, personnel performance, and mission outcomes.",army,leadership
CE,command element,command element,usmc,organization
CEFMS,Corps of Engineers Financial Management System,USACE accounting system,army,financial
CELLEX,Cellphone Exploitation,Mobile device forensic analysis,general,intelligence
CENTCOM,Central Command,Central Command,general,organization
CES,civil engineering squadron,civil engineering squadron,usaf,acronym
CFL,command fitness leader,command fitness leader,navy,organization
CFSCC,Combined Force Space Component Command,Joint space operations command,general,space
CFT,combat fitness test,combat fitness test,usmc,training
CGC,Coast Guard Cutter,Coast Guard Cutter,uscg,acronym
CGHQ,Coast Guard Headquarters,Coast Guard Headquarters,uscg,facility
CGSC,Command and General Staff College,Army mid-career officer school,army,training
CHENG,chief engineer,chief engineer,navy,acronym
chit,request form,request form,general,acronym
chow hall,dining facility,dining facility,general,facility
CI,Counterintelligence,insider threat prevention and security investigation,general,intel
CIC,Combat Information Center,Tactical operations center,navy,operations
CID,Criminal Investigation Division,Army law enforcement agency,army,intelligence
CJCS,Chairman of the Joint Chiefs of Staff,top military advisor to the President,general,operations
CLB,Combat Logistics Battalion,Marine logistics unit,usmc,logistics
CLS,Combat Lifesaver,basic emergency medical technician,general,medical
CMC,senior enlisted advisor,senior enlisted advisor,navy,rank
CMEO,equal opportunity manager,equal opportunity manager,navy,acronym
CMSAF,Chief Master Sergeant of the Air Force,Senior enlisted Air Force advisor,usaf,organization
CMSAF,Chief Master Sergeant of the Space Force,Chief Master Sergeant of the Space Force,ussf,rank
CMSGT,chief master sergeant,chief master sergeant,usaf,rank
CMT,Cyber Mission Team,Offensive/defensive cyber operations unit,general,cyber
CNA,Computer Network Attack,Offensive cyber operations,general,cyber
CNAF,Commander Naval Air Forces,naval aviation command,navy,aviation
CNAL,Commander Naval Air Forces Atlantic,Commander Naval Air Forces Atlantic,navy,organization
CNAP,"Commander, Naval Air Forces Pacific",West Coast naval aviation headquarters,navy,aviation
CNATT,Center for Naval Aviation Technical Training,Navy aviation maintenance school,navy,training
CND,Computer Network Defense,Network protection operations,general,cyber
CNDSP,Computer Network Defense Service Provider,Managed cybersecurity service,general,cyber
CNE,Computer Network Exploitation,Network intelligence gathering,general,cyber
CNMF,Cyber National Mission Force,National-level cyber defense team,general,cyber
CNO,Chief of Naval Operations,Highest ranking Navy officer,navy,organization
CNSP,Commander Naval Surface Forces Pacific,Pacific surface fleet commander,navy,organization
CO,director,director,navy,rank
COA,Course of Action,Action plan/strategy option,general,planning
Coastguardsman,team member,team member,general,acronym
COCOM,combatant command,combatant command,general,organization
COLA,Cost of Living Allowance,Cost of living adjustment,general,admin
colors,flag ceremony,flag ceremony,general,acronym
combat,operations,operations,general,acronym
COMMEX,communications exercise,communications exercise,army,acronym
commissary,grocery store,grocery store,general,facility
COMMO,communications officer,communications officer,navy,acronym
COMMS,communications,communications,navy,acronym
COMSEC,communications security,communications security,general,security
CONEX,Container Express,Shipping container / storage container,general,logistics
CONOP,concept of operations,concept of operations,army,acronym
CONOP,Concept of Operations,operational concept plan,general,operations
CONPLAN,Contingency Plan,contingency response plan,general,operations
CONUS,continental United States,continental United States,general,acronym
COP,common operating picture,common operating picture,general,acronym
COSAL,Coordinated Shipboard Allowance List,Authorized parts inventory list,navy,technical
COSC,Combat Operational Stress Control,Operational mental health program,general,medical
CP,command post,command post,general,organization
CPL,corporal,corporal,army,rank
CPT,Cyber Protection Team,Defensive cybersecurity unit,general,cyber
CQC,Contractor Quality Control,Builder's quality management program,general,engineering
CRM,crew resource management,crew resource management,general,acronym
CS,communications squadron,communications squadron,usaf,acronym
CSG,carrier strike group,carrier strike group,navy,acronym
CSM,command sergeant major,command sergeant major,army,rank
CSMP,Current Ships Maintenance Project,Maintenance backlog tracker,navy,technical
CSO,Chief of Space Operations,Chief of Space Operations,ussf,acronym
CSpOC,Combined Space Operations Center,Combined Space Operations Center,ussf,acronym
CSSB,Combat Sustainment Support Battalion,Army logistics battalion,army,logistics
CSSP,Cybersecurity Service Provider,Managed security operations provider,general,cyber
CTC,combat training center,combat training center,army,training
CTI,Cryptologic Technician Interpretive,Language-enabled signals intelligence analyst.,navy,rate
CTN,cryptologic technician (networks),cryptologic technician (networks),navy,rating
CTR,Cryptologic Technician Collection,Signals intelligence collector/analyst supporting threat detection.,navy,rate
CUI,controlled unclassified information,controlled unclassified information,general,security
CVW,Carrier Air Wing,Aircraft carrier aviation unit,navy,aviation
CWO,Chief Warrant Officer,Technical expert/leader role bridging hands-on expertise and management responsibilities.,army,rank_title
CYBERCOM,Cyber Command,Cyber Command,general,organization
DA,Department of the Army,Department of the Army,army,acronym
DAFSC,duty specialty code,duty specialty code,usaf,acronym
DAI,Defense Agencies Initiative,Defense agency accounting system,general,financial
DAPA,substance abuse prevention advisor,substance abuse prevention advisor,navy,acronym
DATO,Denial of Authorization to Operate,Security certification failure,general,cyber
DC,damage control,damage control,navy,acronym
DCA,safety officer,safety officer,navy,acronym
DCAG,"Deputy Commander, Air Group",Deputy air wing leader,navy,aviation
DCCS,Damage Control Central Station,Emergency response command center,navy,operations
DCFR,Defense Casualty and Fatality Report,personnel casualty tracking system,general,admin
DCGS,Distributed Common Ground System,integrated intelligence analysis platform,general,intel
DCIPS,Defense Civilian Intelligence Personnel System,Intelligence community civilian pay system,general,training
DCIS,Defense Criminal Investigative Service,DoD inspector general investigative arm,general,intelligence
DCMS,Deputy Commandant for Mission Support,Deputy Commandant for Mission Support,uscg,organization
DCO,Defensive Cyber Operations,cybersecurity defense operations,general,cyber
DCO,Deputy Commandant for Operations,Deputy Commandant for Operations,uscg,organization
DCPO,maintenance supervisor,maintenance supervisor,navy,acronym
DCTT,damage control training team,damage control training team,navy,training
DD-214,Certificate of Release or Discharge,Military discharge certificate,general,admin
DEERS,Defense Enrollment Eligibility Reporting System,Military benefits eligibility database,general,medical
DEL,delta (unit),delta (unit),ussf,acronym
DEOCS,organizational climate survey,organizational climate survey,general,acronym
deployment,overseas assignment,overseas assignment,general,acronym
DEPORD,Deployment Order,deployment directive,general,operations
DEROS,scheduled rotation date,scheduled rotation date,general,acronym
DES,Disability Evaluation System,Military disability processing system,general,medical
DESRON,destroyer squadron,destroyer squadron,navy,acronym
DFAC,dining facility,dining facility,general,facility
DFAR,Defense Federal Acquisition Regulation,defense procurement regulations,general,financial
DFAS,finance and accounting,finance and accounting,general,acronym
DH,department head,department head,navy,acronym
DHA,Defense Health Agency,DoD healthcare management agency,general,medical
DIA,Defense Intelligence Agency,National defense analysis organization,general,intelligence
DIACAP,DoD Information Assurance Certification,Legacy security compliance framework,general,cyber
DIRNSA,"Director, National Security Agency",Head of NSA,general,intelligence
DIS,Defense Investigative Service,Security clearance investigation agency,general,intelligence
DISA,Defense Information Systems Agency,enterprise IT infrastructure agency,general,cyber
DISS,Defense Information System for Security,Modern clearance management system,general,intelligence
DITSCAP,DoD IT Security Certification,Older security compliance process,general,cyber
DIVARTY,division artillery,division artillery,army,acronym
DIVO,division officer,division officer,navy,acronym
DMC,Distribution Management Center,Logistics coordination facility,general,logistics
DMDC,Defense Manpower Data Center,DoD personnel data management,general,admin
DMSP,Defense Meteorological Satellite Program,Military weather satellite,general,space
DNI,Director of National Intelligence,Head of U.S. intelligence community,general,intelligence
DO,director of operations,director of operations,usaf,acronym
DOCEX,Document Exploitation,Analysis of captured documents,general,intelligence
DoD,Department of Defense,Department of Defense,general,acronym
DoDIN,Department of Defense Information Network,DoD enterprise network,general,cyber
DOS,date of separation,date of separation,general,acronym
DPAS,property accountability system,property accountability system,army,system
DPAS,Defense Property Accountability System,Government property tracking system,general,technical
drill,training exercise,training exercise,general,training
DRMO,surplus property disposal,surplus property disposal,usaf,acronym
DRRS,Defense Readiness Reporting System,Readiness tracking system,general,technical
DRRS,readiness reporting,readiness reporting,navy,acronym
DRRS-S,Defense Readiness Reporting System-Strategic,Strategic readiness reporting,general,compliance
DTG,Date-Time Group,timestamp / date-time reference,general,admin
DTMS,digital training management system,digital training management system,army,system
DTS,travel management system,travel management system,army,system
DUSTOFF,Dedicated Unhesitating Service to Our Fighting Forces,Army air ambulance,army,aviation
duty section,on-call team,on-call team,general,acronym
DZ,Drop Zone,Parachute delivery area,general,aviation
EAD,Earliest Arrival Date,First acceptable delivery date,general,logistics
EAOS,end of service obligation,end of service obligation,general,acronym
EAS,end of active service,end of active service,general,acronym
EBS,Environmental Baseline Survey,Site contamination assessment,general,engineering
ECAT,Enterprise Compromise Assessment Tool,Malware detection platform,general,cyber
ECP,entry control point,entry control point,army,acronym
EDO,Engineering Duty Officer,Engineering on-call supervisor,navy,operations
EDPO,Engineering Department Program Officer,Managed maintenance planning and personnel development to improve readiness outcomes.,navy,leadership
EDR,Endpoint Detection and Response,Device-level security monitoring,general,cyber
EEFI,Essential Elements of Friendly Information,critical internal information to protect,general,operations
EEI,Essential Elements of Information,Critical intelligence requirements,general,intelligence
EER,enlisted evaluation report,enlisted evaluation report,uscg,acronym
EM,electrician's mate,electrician's mate,navy,rating
eMILPO,personnel management system,personnel management system,army,system
EMO,electronics material officer,electronics material officer,navy,acronym
EMR,Electronic Medical Record,Digital patient health record,general,medical
EN,engineman,engineman,navy,rating
enlisted,staff,staff,general,acronym
EO,equal opportunity,equal opportunity,general,acronym
EOD,explosive ordnance disposal,explosive ordnance disposal,general,acronym
EOF,Escalation of Force,Progressive response procedures,general,operations
EOOW,Engineering Officer of the Watch,Engineering operations shift supervisor,navy,operations
EOW,Engineering Officer of the Watch,"Shift supervisor accountable for equipment status, operational decisions, and team performance.",navy,operations
EPME,Enlisted Professional Military Education,Enlisted development courses,general,training
EPME,enlisted professional development,enlisted professional development,uscg,acronym
EPR,performance evaluation,performance evaluation,usaf,acronym
equipage,equipment,equipment,general,acronym
ER09,Engineering casualty response (ER09),Led urgent corrective maintenance actions to restore equipment availability and reduce downtime.,navy,maintenance
ERB,Enlisted Record Brief,Personnel summary record,army,admin
ERB,personnel record,personnel record,general,acronym
ERUL,Engineering urgent logistics (ERUL),Coordinated rapid-response logistics and maintenance actions to mitigate failures and restore capability.,navy,maintenance
ESC,Expeditionary Sustainment Command,Army theater logistics command,army,logistics
ESD,electronic systems division,electronic systems division,uscg,system
ESG,expeditionary strike group,expeditionary strike group,navy,acronym
ESO,educational services officer,educational services officer,navy,acronym
ESS,Enterprise Security Stack,Centralized network security platform,general,cyber
ESSAYONS,Army Engineer Motto (Let Us Try),Army Corps of Engineers motto,army,engineering
