id,acronym,full_term,civilian_explanation,branch,category,created_at
,1SG,first sergeant,first sergeant,army,Rank,
,3M,maintenance program,maintenance program,navy,Acronym,
,3MA,Maintenance Program Manager,Maintenance Program Manager,navy,Acronym,
,3MC,Maintenance Coordinator,Maintenance Coordinator,navy,Acronym,
,A1C,airman first class,airman first class,usaf,Rank,
,AAFES,military retail,military retail,general,Facility,
,AAR,After Action Report,Post-event analysis and lessons learned,general,communication,
,AB,airman basic,airman basic,usaf,Rank,
,ABCT,armored brigade combat team,armored brigade combat team,army,Acronym,
,ACC,Air Combat Command,Air Combat Command,usaf,Organization,
,ACE,aviation combat element,aviation combat element,usmc,Acronym,
,ACFT,combat fitness test,combat fitness test,army,Training,
,ACO,Airspace Control Order,Air traffic management directive,general,Aviation,
,ACSC,Air Command and Staff College,Air Command and Staff College,usaf,Organization,
,ADCON,Administrative Control,Administrative authority,general,operations,
,ADLS,advanced distributed learning,advanced distributed learning,usaf,Acronym,
,ADMIN,administration,administration,navy,Acronym,
,AE,Architect-Engineer,Design professional / design firm,general,Engineering,
,AEF,Air Expeditionary Force,Air Expeditionary Force,usaf,Acronym,
,AEHF,Advanced Extremely High Frequency,Secure military satellite communications,general,Space,
,AETC,Air Education and Training Command,Air Education and Training Command,usaf,Organization,
,AEW,Air Expeditionary Wing,Air Expeditionary Wing,usaf,Acronym,
,AF,usaf,usaf,usaf,Acronym,
,AFCYBER,Air Forces Cyber,Air Force cybersecurity unit,usaf,Cyber,
,AFGSC,Air Force Global Strike Command,Air Force Global Strike Command,usaf,Organization,
,AFI,Air Force instruction,Air Force instruction,usaf,Acronym,
,AFIMS,information management system,information management system,usaf,System,
,AFMAN,Air Force manual,Air Force manual,usaf,Acronym,
,AFMSA,Air Force Medical Support Agency,AF healthcare support organization,usaf,Medical,
,AFOSI,Air Force Office of Special Investigations,Air Force law enforcement and CI agency,usaf,Intelligence,
,AFPC,Air Force Personnel Center,AF human resources center,usaf,Admin,
,AFPD,Air Force policy directive,Air Force policy directive,usaf,Acronym,
,AFRC,Air Force Reserve Command,Air Force Reserve Command,usaf,Organization,
,AFRICOM,Africa Command,Africa Command,general,Organization,
,AFSC,career field specialty code,career field specialty code,general,Acronym,
,AFSOC,Air Force Special Operations Command,Air Force Special Operations Command,usaf,Organization,
,AFSPC,Air Force Space Command,Air Force Space Command,usaf,Organization,
,AGM,Air-to-Ground Missile,Aircraft-launched surface attack missile,general,Aviation,
,AHLTA,Armed Forces Health Longitudinal Technology Application,electronic health records system,general,medical,
,AIM,Air Intercept Missile,Aircraft-launched air-to-air missile,general,Aviation,
,AIRDET,aviation detachment,aviation detachment,navy,Acronym,
,AIRLANT,air forces Atlantic,air forces Atlantic,navy,Acronym,
,Airman,team member,team member,general,Acronym,
,airmen,personnel,personnel,general,Acronym,
,AIRPAC,air forces Pacific,air forces Pacific,navy,Acronym,
,AKO,Army knowledge portal,Army knowledge portal,general,Acronym,
,ALC,Advanced Leader Course,Mid-level supervisor course,army,training,
,ALCON,All Concerned,all stakeholders / all recipients,general,admin,
,ALMAR,all Marines message,all Marines message,usmc,Acronym,
,ALMIS,asset logistics management,asset logistics management,uscg,Acronym,
,ALS,Airman Leadership School,Airman Leadership School,usaf,Acronym,
,AMC,Army Materiel Command,Army Materiel Command,army,Organization,
,AMEDD,Army Medical Department,Army healthcare organization,army,Medical,
,ammo,ammunition,ammunition,general,Acronym,
,AMN,airman,airman,usaf,Rank,
,AMRAAM,Advanced Medium-Range Air-to-Air Missile,advanced air defense system,general,aviation,
,AMSCO,Army Management Structure Code,Army budget classification code,army,Financial,
,AMXS,aircraft maintenance squadron,aircraft maintenance squadron,usaf,Acronym,
,ANAM,Automated Neuropsychological Assessment Metrics,Cognitive baseline testing tool,general,Medical,
,ANG,Air National Guard,Air National Guard,usaf,Acronym,
,AO,Authorizing Official,Security certification decision authority,general,Cyber,
,AOPS,assistant operations officer,assistant operations officer,navy,Acronym,
,AOR,area of responsibility,area of responsibility,general,Acronym,
,APFT,Army Physical Fitness Test,Physical fitness assessment,army,training,
,APL,Allowance Parts List,Authorized parts list per equipment,navy,technical,
,APOD,Aerial Port of Debarkation,Military air cargo receiving terminal,general,Logistics,
,APOE,Aerial Port of Embarkation,Military air cargo departure terminal,general,Logistics,
,AR,Army regulation,Army regulation,army,Acronym,
,ARCYBER,Army Cyber Command,Army cybersecurity operations command,army,Cyber,
,ASEV,aircrew standardization evaluation,aircrew standardization evaluation,usaf,Acronym,
,ASG,Area Support Group,Regional logistics support unit,army,Logistics,
,ASP,Ammunition Supply Point,Ammunition storage and distribution facility,general,Logistics,
,ASR,alternate supply route,alternate supply route,army,Acronym,
,ASR,Alternate Supply Route,backup transportation route,general,operations,
,ATC,training center,training center,uscg,Training,
,ATG,Afloat Training Group,External readiness assessment organization,navy,organization,
,ATO,Authority to Operate,System security certification,general,technical,
,AtoN,Aids to Navigation,Managed/maintained navigation aids and compliance processes to support safe maritime operations.,Coast Guard,operations,
,ATON,aids to navigation,aids to navigation,uscg,Acronym,
,ATTRS,training requirements system,training requirements system,army,System,
,AUXO,auxiliaries officer,auxiliaries officer,navy,Acronym,
,AWC,Army War College,Senior officer strategic school,army,training,
,AWC,Air War College,Air War College,usaf,Acronym,
,AWP,parts shortage,parts shortage,navy,Acronym,
,BA,Budget Activity,Budget sub-category,general,Financial,
,BAH,Basic Allowance for Housing,Housing stipend,general,admin,
,barracks,residential quarters,residential quarters,general,Facility,
,BAS,Battalion Aid Station,Forward field medical clinic,army,Medical,
,BAS,Basic Allowance for Subsistence,Food allowance,general,admin,
,BCA,fitness standards assessment,fitness standards assessment,navy,Training,
,BCD,Base Civil Development,Installation construction planning,general,Engineering,
,BCE,Base Civil Engineer,base facilities manager,usaf,engineering,
,BCT,brigade combat team,brigade combat team,army,Acronym,
,BDA,Battle Damage Assessment,Post-event effectiveness evaluation,general,operations,
,BDE,brigade,brigade,army,Acronym,
,BDE S1,Brigade S-1 (Personnel/HR Section),"Brigade-level human resources office responsible for personnel actions, records, and administrative support.",Army,administration,
,BDE S2,Brigade S-2 (Intelligence Section),"Brigade-level intelligence office responsible for threat analysis, briefings, and situational awareness.",Army,intelligence,
,BDE S3,Brigade S-3 (Operations Section),"Brigade-level operations office responsible for planning, coordinating, and tracking operational execution.",Army,operations,
,BDE S4,Brigade S-4 (Logistics Section),"Brigade-level logistics office responsible for supply, transportation, and sustainment planning.",Army,logistics,
,BEQ,enlisted lodging,enlisted lodging,general,Facility,
,berthing,crew quarters,crew quarters,general,Facility,
,BES,Budget Estimate Submission,Annual budget request package,general,Financial,
,billeting,lodging,lodging,general,Facility,
,BLC,Basic Leader Course,First-line supervisor course,army,training,
,BLUF,Bottom Line Up Front,key takeaway first / executive summary first,general,admin,
,BLUFOR,friendly force,friendly force,army,Acronym,
,BM,boatswain's mate,boatswain's mate,navy,Rating,
,BMOW,bridge watch supervisor,bridge watch supervisor,navy,Acronym,
,BN,battalion,battalion,army,Acronym,
,BN S1,Battalion S-1 (Personnel/HR Section),Battalion-level HR office handling personnel actions and administrative processing.,Army,administration,
,BN S2,Battalion S-2 (Intelligence Section),Battalion-level intelligence office providing threat updates and reporting.,Army,intelligence,
,BN S3,Battalion S-3 (Operations Section),"Battalion-level operations office coordinating plans, training schedules, and mission execution.",Army,operations,
,BN S4,Battalion S-4 (Logistics Section),"Battalion-level logistics office coordinating supply, maintenance support, and sustainment.",Army,logistics,
,BN S6,Battalion Communications/IT Section,"Unit communications/IT office responsible for networks, radios, and technical support at battalion level.",Army,staff_section,
,BOD,Basis of Design,Design requirements document,general,Engineering,
,BOL,BUPERS Online,Navy personnel self-service portal,navy,Admin,
,BOLC,Basic Officer Leader Course,New Army officer training,army,Training,
,BOQ,officer lodging,officer lodging,general,Facility,
,bridge,control center,control center,general,Acronym,
,BSA,Budget Sub-Activity,Detailed budget line,general,Financial,
,BSB,brigade support battalion,brigade support battalion,army,Acronym,
,bulkhead,wall,wall,general,Facility,
,BUMED,Bureau of Medicine and Surgery,Navy medical headquarters,navy,organization,
,BUPERS,Bureau of Naval Personnel,Navy HR headquarters,navy,organization,
,BX,retail store,retail store,general,Facility,
,C2,Command and Control,Centralized management and direction,general,Cyber,
,C4ISR,Command Control Communications Computers Intelligence Surveillance Reconnaissance,Integrated command and information systems,general,technical,
,CAB,combat aviation brigade,combat aviation brigade,army,Acronym,
,CACO,casualty assistance officer,casualty assistance officer,navy,Acronym,
,CAFSC,control specialty code,control specialty code,usaf,Acronym,
,CAG,Commander Air Group,air wing commander,navy,aviation,
,CAMS,maintenance system,maintenance system,usaf,System,
,CANTRAC,training catalog,training catalog,navy,Training,
,CAS,Close Air Support,Direct air assistance to ground forces,general,operations,
,CASEVAC,Casualty Evacuation,Emergency medical transport,general,operations,
,CASREP,equipment casualty report,equipment casualty report,navy,Acronym,
,CBRN,chemical/biological/radiological/nuclear defense,chemical/biological/radiological/nuclear defense,general,Acronym,
,CBT,computer-based training,computer-based training,general,Training,
,CC,commander,commander,usaf,Rank,
,CCC,Captains Career Course,Mid-grade officer professional school,army,training,
,CCC,command career counselor,command career counselor,navy,Organization,
,CCIP,commander's inspection program,commander's inspection program,usaf,Organization,
,CCIR,Commanders Critical Information Requirements,Priority information needs,general,planning,
,CCRI,Command Cyber Readiness Inspection,Cybersecurity compliance audit,general,Cyber,
,CD,deputy commander,deputy commander,usaf,Rank,
,CDC,Combat Direction Center,Tactical command center,navy,operations,
,CDM,Continuous Diagnostics and Mitigation,Ongoing security monitoring program,general,Cyber,
,CDO,Command Duty Officer,Senior on-site manager (after hours),navy,operations,
,CDR,Commander,"Organizational leader accountable for operations, personnel performance, and mission outcomes.",Army,leadership,
,CE,command element,command element,usmc,Organization,
,CEFMS,Corps of Engineers Financial Management System,USACE accounting system,army,Financial,
,CELLEX,Cellphone Exploitation,Mobile device forensic analysis,general,Intelligence,
,CENTCOM,Central Command,Central Command,general,Organization,
,CES,civil engineering squadron,civil engineering squadron,usaf,Acronym,
,CFL,command fitness leader,command fitness leader,navy,Organization,
,CFSCC,Combined Force Space Component Command,Joint space operations command,general,Space,
,CFT,combat fitness test,combat fitness test,usmc,Training,
,CGC,Coast Guard Cutter,Coast Guard Cutter,uscg,Acronym,
,CGHQ,Coast Guard Headquarters,Coast Guard Headquarters,uscg,Facility,
,CGSC,Command and General Staff College,Army mid-career officer school,army,Training,
,CHENG,chief engineer,chief engineer,navy,Acronym,
,chit,request form,request form,general,Acronym,
,chow hall,dining facility,dining facility,general,Facility,
,CI,Counterintelligence,insider threat prevention and security investigation,general,intel,
,CIC,Combat Information Center,Tactical operations center,navy,operations,
,CID,Criminal Investigation Division,Army law enforcement agency,army,Intelligence,
,CJCS,Chairman of the Joint Chiefs of Staff,top military advisor to the President,general,operations,
,CLB,Combat Logistics Battalion,Marine logistics unit,usmc,Logistics,
,CLS,Combat Lifesaver,basic emergency medical technician,general,medical,
,CMC,senior enlisted advisor,senior enlisted advisor,navy,Rank,
,CMEO,equal opportunity manager,equal opportunity manager,navy,Acronym,
,CMSAF,Chief Master Sergeant of the Air Force,Senior enlisted Air Force advisor,usaf,organization,
,CMSAF,Chief Master Sergeant of the Space Force,Chief Master Sergeant of the Space Force,ussf,Rank,
,CMSGT,chief master sergeant,chief master sergeant,usaf,Rank,
,CMT,Cyber Mission Team,Offensive/defensive cyber operations unit,general,Cyber,
,CNA,Computer Network Attack,Offensive cyber operations,general,Cyber,
,CNAF,Commander Naval Air Forces,naval aviation command,navy,aviation,
,CNAL,Commander Naval Air Forces Atlantic,Commander Naval Air Forces Atlantic,navy,Organization,
,CNAP,"Commander, Naval Air Forces Pacific",West Coast naval aviation headquarters,navy,Aviation,
,CNATT,Center for Naval Aviation Technical Training,Navy aviation maintenance school,navy,Training,
,CND,Computer Network Defense,Network protection operations,general,Cyber,
,CNDSP,Computer Network Defense Service Provider,Managed cybersecurity service,general,Cyber,
,CNE,Computer Network Exploitation,Network intelligence gathering,general,Cyber,
,CNMF,Cyber National Mission Force,National-level cyber defense team,general,Cyber,
,CNO,Chief of Naval Operations,Highest ranking Navy officer,navy,organization,
,CNSP,Commander Naval Surface Forces Pacific,Pacific surface fleet commander,navy,organization,
,CO,director,director,navy,Rank,
,COA,Course of Action,Action plan/strategy option,general,planning,
,Coastguardsman,team member,team member,general,Acronym,
,COCOM,combatant command,combatant command,general,Organization,
,COLA,Cost of Living Allowance,Cost of living adjustment,general,admin,
,colors,flag ceremony,flag ceremony,general,Acronym,
,combat,operations,operations,general,Acronym,
,COMMEX,communications exercise,communications exercise,army,Acronym,
,commissary,grocery store,grocery store,general,Facility,
,COMMO,communications officer,communications officer,navy,Acronym,
,COMMS,communications,communications,navy,Acronym,
,COMSEC,communications security,communications security,general,Security,
,CONEX,Container Express,Shipping container / storage container,general,Logistics,
,CONOP,concept of operations,concept of operations,army,Acronym,
,CONOP,Concept of Operations,operational concept plan,general,operations,
,CONPLAN,Contingency Plan,contingency response plan,general,operations,
,CONUS,continental United States,continental United States,general,Acronym,
,COP,common operating picture,common operating picture,general,Acronym,
,COSAL,Coordinated Shipboard Allowance List,Authorized parts inventory list,navy,technical,
,COSC,Combat Operational Stress Control,Operational mental health program,general,Medical,
,CP,command post,command post,general,Organization,
,CPL,corporal,corporal,army,Rank,
,CPT,Cyber Protection Team,Defensive cybersecurity unit,general,Cyber,
,CQC,Contractor Quality Control,Builder's quality management program,general,Engineering,
,CRM,crew resource management,crew resource management,general,Acronym,
,CS,communications squadron,communications squadron,usaf,Acronym,
,CSG,carrier strike group,carrier strike group,navy,Acronym,
,CSM,command sergeant major,command sergeant major,army,Rank,
,CSMP,Current Ships Maintenance Project,Maintenance backlog tracker,navy,technical,
,CSO,Chief of Space Operations,Chief of Space Operations,ussf,Acronym,
,CSpOC,Combined Space Operations Center,Combined Space Operations Center,ussf,Acronym,
,CSSB,Combat Sustainment Support Battalion,Army logistics battalion,army,Logistics,
,CSSP,Cybersecurity Service Provider,Managed security operations provider,general,Cyber,
,CTC,combat training center,combat training center,army,Training,
,CTI,Cryptologic Technician Interpretive,Language-enabled signals intelligence analyst.,Navy,rate,
,CTN,cryptologic technician (networks),cryptologic technician (networks),navy,Rating,
,CTR,Cryptologic Technician Collection,Signals intelligence collector/analyst supporting threat detection.,Navy,rate,
,CUI,controlled unclassified information,controlled unclassified information,general,Security,
,CVW,Carrier Air Wing,Aircraft carrier aviation unit,navy,Aviation,
,CWO,Chief Warrant Officer,Technical expert/leader role bridging hands-on expertise and management responsibilities.,Army,rank_title,
,CYBERCOM,Cyber Command,Cyber Command,general,Organization,
,DA,Department of the Army,Department of the Army,army,Acronym,
,DAFSC,duty specialty code,duty specialty code,usaf,Acronym,
,DAI,Defense Agencies Initiative,Defense agency accounting system,general,Financial,
,DAPA,substance abuse prevention advisor,substance abuse prevention advisor,navy,Acronym,
,DATO,Denial of Authorization to Operate,Security certification failure,general,Cyber,
,DC,damage control,damage control,navy,Acronym,
,DCA,safety officer,safety officer,navy,Acronym,
,DCAG,"Deputy Commander, Air Group",Deputy air wing leader,navy,Aviation,
,DCCS,Damage Control Central Station,Emergency response command center,navy,operations,
,DCFR,Defense Casualty and Fatality Report,personnel casualty tracking system,general,admin,
,DCGS,Distributed Common Ground System,integrated intelligence analysis platform,general,intel,
,DCIPS,Defense Civilian Intelligence Personnel System,Intelligence community civilian pay system,general,Training,
,DCIS,Defense Criminal Investigative Service,DoD inspector general investigative arm,general,Intelligence,
,DCMS,Deputy Commandant for Mission Support,Deputy Commandant for Mission Support,uscg,Organization,
,DCO,Defensive Cyber Operations,cybersecurity defense operations,general,cyber,
,DCO,Deputy Commandant for Operations,Deputy Commandant for Operations,uscg,Organization,
,DCPO,maintenance supervisor,maintenance supervisor,navy,Acronym,
,DCTT,damage control training team,damage control training team,navy,Training,
,DD-214,Certificate of Release or Discharge,Military discharge certificate,general,admin,
,DEERS,Defense Enrollment Eligibility Reporting System,Military benefits eligibility database,general,Medical,
,DEL,delta (unit),delta (unit),ussf,Acronym,
,DEOCS,organizational climate survey,organizational climate survey,general,Acronym,
,deployment,overseas assignment,overseas assignment,general,Acronym,
,DEPORD,Deployment Order,deployment directive,general,operations,
,DEROS,scheduled rotation date,scheduled rotation date,general,Acronym,
,DES,Disability Evaluation System,Military disability processing system,general,Medical,
,DESRON,destroyer squadron,destroyer squadron,navy,Acronym,
,DFAC,dining facility,dining facility,general,Facility,
,DFAR,Defense Federal Acquisition Regulation,defense procurement regulations,general,financial,
,DFAS,finance and accounting,finance and accounting,general,Acronym,
,DH,department head,department head,navy,Acronym,
,DHA,Defense Health Agency,DoD healthcare management agency,general,Medical,
,DIA,Defense Intelligence Agency,National defense analysis organization,general,Intelligence,
,DIACAP,DoD Information Assurance Certification,Legacy security compliance framework,general,Cyber,
,DIRNSA,"Director, National Security Agency",Head of NSA,general,Intelligence,
,DIS,Defense Investigative Service,Security clearance investigation agency,general,Intelligence,
,DISA,Defense Information Systems Agency,enterprise IT infrastructure agency,general,cyber,
,DISS,Defense Information System for Security,Modern clearance management system,general,Intelligence,
,DITSCAP,DoD IT Security Certification,Older security compliance process,general,Cyber,
,DIVARTY,division artillery,division artillery,army,Acronym,
,DIVO,division officer,division officer,navy,Acronym,
,DMC,Distribution Management Center,Logistics coordination facility,general,Logistics,
,DMDC,Defense Manpower Data Center,DoD personnel data management,general,Admin,
,DMSP,Defense Meteorological Satellite Program,Military weather satellite,general,Space,
,DNI,Director of National Intelligence,Head of U.S. intelligence community,general,Intelligence,
,DO,director of operations,director of operations,usaf,Acronym,
,DOCEX,Document Exploitation,Analysis of captured documents,general,Intelligence,
,DoD,Department of Defense,Department of Defense,general,Acronym,
,DoDIN,Department of Defense Information Network,DoD enterprise network,general,Cyber,
,DOS,date of separation,date of separation,general,Acronym,
,DPAS,property accountability system,property accountability system,army,System,
,DPAS,Defense Property Accountability System,Government property tracking system,general,technical,
,drill,training exercise,training exercise,general,Training,
,DRMO,surplus property disposal,surplus property disposal,usaf,Acronym,
,DRRS,Defense Readiness Reporting System,Readiness tracking system,general,technical,
,DRRS,readiness reporting,readiness reporting,navy,Acronym,
,DRRS-S,Defense Readiness Reporting System-Strategic,Strategic readiness reporting,general,compliance,
,DTG,Date-Time Group,timestamp / date-time reference,general,admin,
,DTMS,digital training management system,digital training management system,army,System,
,DTS,travel management system,travel management system,army,System,
,DUSTOFF,Dedicated Unhesitating Service to Our Fighting Forces,Army air ambulance,army,Aviation,
,duty section,on-call team,on-call team,general,Acronym,
,DZ,Drop Zone,Parachute delivery area,general,Aviation,
,EAD,Earliest Arrival Date,First acceptable delivery date,general,Logistics,
,EAOS,end of service obligation,end of service obligation,general,Acronym,
,EAS,end of active service,end of active service,general,Acronym,
,EBS,Environmental Baseline Survey,Site contamination assessment,general,Engineering,
,ECAT,Enterprise Compromise Assessment Tool,Malware detection platform,general,Cyber,
,ECP,entry control point,entry control point,army,Acronym,
,EDO,Engineering Duty Officer,Engineering on-call supervisor,navy,operations,
,EDPO,Engineering Department Program Officer,Managed maintenance planning and personnel development to improve readiness outcomes.,Navy,leadership,
,EDR,Endpoint Detection and Response,Device-level security monitoring,general,Cyber,
,EEFI,Essential Elements of Friendly Information,critical internal information to protect,general,operations,
,EEI,Essential Elements of Information,Critical intelligence requirements,general,Intelligence,
,EER,enlisted evaluation report,enlisted evaluation report,uscg,Acronym,
,EM,electrician's mate,electrician's mate,navy,Rating,
,eMILPO,personnel management system,personnel management system,army,System,
,EMO,electronics material officer,electronics material officer,navy,Acronym,
,EMR,Electronic Medical Record,Digital patient health record,general,Medical,
,EN,engineman,engineman,navy,Rating,
,enlisted,staff,staff,general,Acronym,
,EO,equal opportunity,equal opportunity,general,Acronym,
,EOD,explosive ordnance disposal,explosive ordnance disposal,general,Acronym,
,EOF,Escalation of Force,Progressive response procedures,general,operations,
,EOOW,Engineering Officer of the Watch,Engineering operations shift supervisor,navy,operations,
,EOW,Engineering Officer of the Watch,"Shift supervisor accountable for equipment status, operational decisions, and team performance.",Navy,operations,
,EPME,Enlisted Professional Military Education,Enlisted development courses,general,training,
,EPME,enlisted professional development,enlisted professional development,uscg,Acronym,
,EPR,performance evaluation,performance evaluation,usaf,Acronym,
,equipage,equipment,equipment,general,Acronym,
,ER09,Engineering casualty response (ER09),Led urgent corrective maintenance actions to restore equipment availability and reduce downtime.,Navy,maintenance,
,ERB,Enlisted Record Brief,Personnel summary record,army,admin,
,ERB,personnel record,personnel record,general,Acronym,
,ERUL,Engineering urgent logistics (ERUL),Coordinated rapid-response logistics and maintenance actions to mitigate failures and restore capability.,Navy,maintenance,
,ESC,Expeditionary Sustainment Command,Army theater logistics command,army,Logistics,
,ESD,electronic systems division,electronic systems division,uscg,System,
,ESG,expeditionary strike group,expeditionary strike group,navy,Acronym,
,ESO,educational services officer,educational services officer,navy,Acronym,
,ESS,Enterprise Security Stack,Centralized network security platform,general,Cyber,
,ESSAYONS,Army Engineer Motto (Let Us Try),Army Corps of Engineers motto,army,engineering,
