id,military_term,civilian_equivalent,context,category,example_military,example_civilian,created_at,job_family
,CBRN equipment,hazardous materials handling equipment,general,Equipment,,,,operations
,gear adrift,unsecured/disorganized equipment,navy,operations,,,,operations
,tradecraft,operational techniques / professional methodology,intelligence,Intelligence,,,,intelligence
,COP,combat outpost / remote site,army,operations,,,,operations
,SEAL,"Sea, Air, and Land operator / Navy special operator",general,Special Operations,,,,operations
,ASL,authorized stockage list / approved inventory catalog,logistics,Logistics,,,,logistics
,PV2 (Private Second Class),Junior Staff Member,army,Rank,,,,operations
,S6,Communications section / IT department,general,Acronym,,,,operations
,intrusion detection,unauthorized access monitoring,cyber,Cyber,,,,cyber
,TPOC,technical point of contact / subject matter liaison,logistics,Acquisition,,,,operations
,personnel recovery,search and rescue / missing person recovery,general,Special Operations,,,,operations
,proficiency,skill level / competency,general,Term,,,,operations
,fit for duty,medically cleared for work,medical,Medical,,,,medical
,field fortification,defensive structure construction,engineering,Engineering,,,,operations
,SFC (Sergeant First Class),Manager / Operations Supervisor,army,Rank,,,,operations
,SOCOM,Special Operations Command / elite forces headquarters,general,Special Operations,,,,operations
,flight chief,section manager,usaf,leadership,,,,leadership
,duty,shift / on-call responsibility,general,Term,,,,operations
,forensics,digital investigation / evidence analysis,cyber,Cyber,,,,cyber
,TECHINT,technical intelligence / technology assessment,intelligence,Intelligence,,,,intelligence
,JTAC,joint terminal attack controller / air strike director,general,Special Operations,,,,operations
,information operations,information warfare / influence campaign management,general,Special Operations,,,,operations
,theater,region / operational area,general,Term,,,,operations
,JQR,Job Qualification Requirements,general,Acronym,,,,operations
,shelf life,expiration period / usable lifespan,logistics,Logistics,,,,logistics
,PCS,organizational transfer,general,operations,,,,operations
,MIA,missing in action,general,Acronym,,,,operations
,XO,Executive Officer / deputy director / second-in-command,general,Acronym,,,,operations
,LCPO,Lead Chief Petty Officer / department supervisor,general,Acronym,,,,operations
,medical hold,extended medical observation / medical administrative hold,medical,Medical,,,,medical
,SCPO (Senior Chief Petty Officer),Senior Manager,uscg,Rank,,,,operations
,FITREP,fitness report / officer performance review,general,Acronym,,,,operations
,high-speed,high performer / exceptional employee,general,Term,,,,operations
,FID,foreign internal defense / partner nation military advising,general,Special Operations,,,,operations
,tech school,technical training school,usaf,training,,,,leadership
,shore duty,office-based assignment / non-deployable role,general,Term,,,,operations
,AT,annual training,general,Acronym,,,,operations
,MARSOC,Marine Forces Special Operations Command,general,Special Operations,,,,operations
,MCO,Marine Corps Order / policy directive,general,Acronym,,,,operations
,starboard,right side,navy,general,,,,operations
,inport,at home location,navy,operations,,,,operations
,power of attorney,legal authorization document,legal,Legal,,,,legal
,AFI,policy instruction,usaf,admin,,,,admin
,bolter,missed approach / failed landing attempt,aviation,Aviation,,,,operations
,force protection,facility security / workplace safety,general,Term,,,,operations
,branch manager,career assignment officer,army,admin,,,,admin
,tracking,understood / following along,general,Term,,,,operations
,material condition,equipment status / asset readiness,general,Term,,,,operations
,CMEO,equal opportunity program manager,navy,admin,,,,admin
,3M,Maintenance Management Program,navy,technical,Managed 3M program for 200+ equipment items,Managed preventive maintenance program for 200+ equipment items valued at $5M,,operations
,strike group,combined operations task force,general,Unit Type,,,,operations
,PQS,Personnel Qualification Standards / certification requirements,general,Acronym,,,,operations
,workup,preparation / training cycle,general,Term,,,,operations
,TTPs,tactics techniques and procedures / best practices,general,operations,,,,operations
,non-expendable,accountable property / tracked assets,logistics,Logistics,,,,logistics
,NAF,Non-Appropriated Fund,general,Acronym,,,,operations
,ashore,land-based / office environment,general,Term,,,,operations
,endstate,desired outcome / final objective,general,Term,,,,operations
,taps,end of day / lights out,general,Term,,,,operations
,moored,docked / stationary,navy,operations,,,,operations
,GCSS,Global Combat Support System,general,Acronym,,,,operations
,post,position / station / assignment,general,Term,,,,operations
,SIQ,Sick in Quarters / medical leave,general,Acronym,,,,operations
,rifle range,training facility / shooting range,general,Term,,,,operations
,JIOC,joint intelligence operations center / combined analysis facility,intelligence,Intelligence,,,,intelligence
,SOY,Employee of the Year,navy,awards,,,,operations
,port call,scheduled stop / client visit,general,Term,,,,operations
,debrief,post-event review / lessons learned,general,communication,,,,operations
,cover down,take responsibility for / fill the gap,general,Term,,,,operations
,MCPO (Master Chief Petty Officer),Director / Senior Director,navy,Rank,,,,operations
,surge,temporary increase in effort / rapid scale-up,general,Term,,,,operations
,retrograde,return shipment / reverse logistics,logistics,Logistics,,,,logistics
,DCAS,Defense Contract Audit Services,general,Acronym,,,,operations
,SME,subject matter expert,general,Acronym,,,,operations
,NCOER,NCO Evaluation Report / performance review,general,Acronym,,,,operations
,gapped billet,vacant position,general,admin,,,,admin
,sand table,tabletop exercise / scenario walkthrough,general,Term,,,,operations
,task order,project-specific work authorization,logistics,Acquisition,,,,operations
,terminal guidance,precision targeting direction,general,Special Operations,,,,operations
,EVAL,performance evaluation / annual review,general,Acronym,,,,operations
,statutory board,legally mandated review panel,personnel,Personnel,,,,operations
,SSE,sensitive site exploitation / evidence collection at target site,general,Special Operations,,,,operations
,sentencing,penalty determination / punishment assignment,legal,Legal,,,,legal
,2ndLt (Second Lieutenant),Junior Manager,usmc,Rank,,,,operations
,award fee,performance incentive payment,logistics,Acquisition,,,,operations
,squad,team of 8-13 employees,general,Unit Type,,,,operations
,OOD,Officer of the Deck / watch supervisor,general,Acronym,,,,operations
,requisition,procurement request,general,logistics,,,,logistics
,litter bearer,patient stretcher carrier / patient transport assistant,medical,Medical,,,,medical
,CHENG,chief engineer / director of engineering,navy,leadership,,,,leadership
,mid-watch,overnight shift / graveyard shift,general,Term,,,,operations
,DD254,security classification specification,logistics,Acquisition,,,,operations
,tour,assignment period / rotation,general,Term,,,,operations
,PTA,practical training assessment,general,Acronym,,,,operations
,TRICARE,military healthcare system,general,Acronym,,,,operations
,cross-domain solution,secure data transfer between networks,cyber,Cyber,,,,cyber
,cross-rate,career change / job reclassification,general,Term,,,,operations
,route clearance,road hazard removal / path clearing operations,engineering,Engineering,,,,operations
,supervised,managed,general,leadership,,,,leadership
,kinetic,direct action / hands-on,general,Term,,,,operations
,work order,maintenance request / service ticket,engineering,Engineering,,,,operations
,COMMS,communications officer / IT director,navy,leadership,,,,leadership
,knock it off,stop immediately / cease activity,general,Term,,,,operations
,chop,transfer of authority / reassignment,general,Term,,,,operations
,S3,Operations section / operations department,general,Acronym,,,,operations
,DC,emergency response,navy,technical,,,,operations
,HHG,household goods / personal property,general,Acronym,,,,operations
,roger,understood / acknowledged,general,communication,,,,operations
,TSP,Thrift Savings Plan / retirement plan,general,Acronym,,,,operations
,SL,skill level,general,Acronym,,,,operations
,NIPRNET,unclassified government network,cyber,Cyber,,,,cyber
,chain of command,organizational hierarchy / reporting structure,general,Term,,,,operations
,APS,army prepositioned stocks / strategic forward inventory,logistics,Logistics,,,,logistics
,inspection,audit / compliance review,general,Term,,,,operations
,logistics,supply chain / operations support,general,Term,,,,operations
,OCO,offensive cyber operations / proactive cyber engagement,cyber,Cyber,,,,cyber
,copy,received and understood,general,communication,,,,operations
,cybersecurity service provider,managed security services,cyber,Cyber,,,,cyber
,deck plate,frontline / shop floor / ground level,general,Term,,,,operations
,passageway,hallway,navy,general,,,,operations
,rate,job specialty,navy,admin,,,,admin
,QA,Quality Assurance,general,Acronym,,,,operations
,commissary,grocery store / employee store,general,Term,,,,operations
,SAPR,Sexual Assault Prevention and Response,general,Acronym,,,,operations
,training command,learning & development / training department,general,Term,,,,operations
,DRB,Disciplinary Review Board,navy,administration,,,,admin
,combat stress,occupational stress / critical incident stress,medical,Medical,,,,medical
,trigger,decision point / activation criteria,general,Term,,,,operations
,CPO (Chief Petty Officer),Department Supervisor / Manager,navy,Rank,,,,operations
,IDC,independent duty corpsman / autonomous healthcare provider,medical,Medical,,,,medical
,weapons qual,certification / proficiency test,general,Term,,,,operations
,topside,external/outdoor areas,navy,operations,,,,operations
,TO,technical order,usaf,technical,,,,operations
,letter of instruction,written directive / formal guidance memo,personnel,Personnel,,,,operations
,TOC,Tactical Operations Center / operations center,general,Acronym,,,,operations
,RPO,Recruit Petty Officer,general,Acronym,,,,operations
,sailor,Navy employee / naval staff,general,Term,,,,operations
,joint,multi-organizational / cross-functional,general,Term,,,,operations
,1st Lt (First Lieutenant),Manager,usaf,Rank,,,,operations
,facilities management,building and infrastructure operations,engineering,Engineering,,,,operations
,independent duty,solo practitioner / autonomous medical provider,medical,Medical,,,,medical
,AB (Airman Basic),Entry-Level Staff,usaf,Rank,,,,operations
,TIG,Time in Grade / time at current level,general,Acronym,,,,operations
,T&M,time and materials / hourly-rate contract,logistics,Acquisition,,,,operations
,turn-in,return to supply / equipment return,logistics,Logistics,,,,logistics
,stockage objective,target inventory level,logistics,Logistics,,,,logistics
,SEABEE,Naval Construction Battalion / military construction worker,engineering,Engineering,,,,operations
,TSCM,technical surveillance countermeasures / electronic sweep,intelligence,Intelligence,,,,intelligence
,liberty,scheduled time off,navy,admin,,,,admin
,serviceable,operational / in working condition,logistics,Logistics,,,,logistics
,hard deck,absolute deadline / non-negotiable limit,general,Term,,,,operations
,manifest,roster / inventory list,general,Term,,,,operations
,network monitoring,IT infrastructure surveillance,cyber,Cyber,,,,cyber
,sea and anchor detail,departure/arrival team,navy,operations,,,,operations
,arrested landing,cable-assisted stop / controlled deceleration landing,aviation,Aviation,,,,operations
,PMCS,preventive maintenance checks,army,technical,,,,operations
,BN,battalion / large organizational unit,general,Acronym,,,,operations
,BCT,Basic Combat Training / initial training program,general,Acronym,,,,operations
,WEPS,weapons officer / tactical systems director,navy,leadership,,,,leadership
,muster,attendance/accountability check,navy,admin,,,,admin
,IMINT,imagery intelligence / satellite and aerial image analysis,intelligence,Intelligence,,,,intelligence
,OPTEMPO,operational pace,general,operations,,,,operations
,vessel,ship / facility,general,Term,,,,operations
,Raider,Marine special operator,general,Special Operations,,,,operations
,direct report,subordinate / team member,general,Term,,,,operations
,yellow deck,limited operations / caution conditions,aviation,Aviation,,,,operations
,target package,mission briefing documents / operation plan,general,Special Operations,,,,operations
,colors,flag ceremony / opening/closing procedures,general,Term,,,,operations
,sick call,walk-in clinic / daily medical appointment,medical,Medical,,,,medical
,led,directed,general,leadership,,,,leadership
,PTAD,permissive temporary additional duty,general,Acronym,,,,operations
,delayed,stable but requiring eventual treatment,medical,Medical,,,,medical
,port,left side / destination,general,Term,,,,operations
,Role 2,advanced trauma care / emergency stabilization,medical,Medical,,,,medical
,immediate,requiring urgent surgical intervention,medical,Medical,,,,medical
,deliverable,required output / contractual product,logistics,Acquisition,,,,operations
,FSA,Family Separation Allowance,general,Acronym,,,,operations
,readiness,preparedness / operational capability,general,Term,,,,operations
,DA,Department of the Army,general,Acronym,,,,operations
,threat assessment,risk evaluation / threat analysis,intelligence,Intelligence,,,,intelligence
,EFMP,Exceptional Family Member Program,general,Acronym,,,,operations
,POM,program objective memorandum / multi-year budget proposal,financial,Financial,,,,finance
,TYCOM,Fleet Regional Command,navy,organization,,,,operations
,collection management,intelligence requirements coordination / data collection planning,intelligence,Intelligence,,,,intelligence
,SITREP,situation report / status update,general,Acronym,,,,operations
,SELRES,Selected Reserve,general,Acronym,,,,operations
,appellate,appeals process / higher court review,legal,Legal,,,,legal
,non-kinetic,indirect / influence-based / diplomatic,general,Term,,,,operations
,minimal,minor injuries / walking wounded,medical,Medical,,,,medical
,RMF,risk management framework / cybersecurity compliance framework,cyber,Cyber,,,,cyber
,1SG,first sergeant / senior operations manager,army,leadership,,,,leadership
,hip pocket training,informal on-the-spot training,general,Term,,,,operations
,defense counsel,defense attorney / legal representative,legal,Legal,,,,legal
,lockdown,facility security restriction,general,operations,,,,operations
,rotation,assignment cycle / tour schedule,general,Term,,,,operations
,relief,replacement / successor,general,Term,,,,operations
,OER,Officer Evaluation Report / performance review,general,Acronym,,,,operations
,combat zone tax exclusion,tax-free income for deployed personnel,financial,Financial,,,,finance
,allotment,automatic payroll deduction / directed payment,financial,Financial,,,,finance
,TM,technical manual,army,technical,,,,operations
,S4,Logistics section / supply chain department,general,Acronym,,,,operations
,CSG,Carrier Strike Group,navy,organization,,,,operations
,OTS,Officer Training School,general,Acronym,,,,operations
,contingency plan,backup plan / business continuity plan,general,planning,,,,operations
,echelon,organizational level / tier,general,Term,,,,operations
,CI,counterintelligence / insider threat detection,intelligence,Intelligence,,,,intelligence
,national intelligence,strategic-level analysis,intelligence,Intelligence,,,,intelligence
,RADAR,radar systems / detection equipment,general,Equipment,,,,operations
,HBSS,host-based security system / endpoint protection platform,cyber,Cyber,,,,cyber
,OSINT,open-source intelligence / publicly available information analysis,intelligence,Intelligence,,,,intelligence
,expeditionary,mobile / rapid deployment capable,general,Term,,,,operations
,gouge,study guide / insider information,general,Term,,,,operations
,battle buddy,accountability partner / work partner,general,Term,,,,operations
,SrA (Senior Airman),Technician / Specialist,usaf,Rank,,,,operations
,VHA,Variable Housing Allowance,general,Acronym,,,,operations
,tacon,tactical control / field-level authority,general,Term,,,,operations
,budget execution,spending management / fiscal plan implementation,financial,Financial,,,,finance
,mess,dining facility / cafeteria,general,Term,,,,operations
,SOW,statement of work / project scope document,logistics,Acquisition,,,,operations
,MSgt,master sergeant / senior manager,usaf,leadership,,,,leadership
,SCI,Sensitive Compartmented Information,general,Acronym,,,,operations
,GPS equipment,navigation systems / location tracking,general,Equipment,,,,operations
,enlisted,non-management / technical staff,general,Term,,,,operations
,ops,operations,general,Term,,,,operations
,brigade,division of 3000-5000 employees,general,Unit Type,,,,operations
,exchange,retail store / company store,general,Term,,,,operations
,SF,Standard Form,general,Acronym,,,,operations
,SM,service member / employee,general,Acronym,,,,operations
,evaluation,performance review / employee appraisal,personnel,Personnel,,,,operations
,movement order,travel directive / relocation order,general,Term,,,,operations
,PPE,personal protective equipment,general,Acronym,,,,operations
,3MC,Maintenance Management Coordinator,navy,maintenance,,,,maintenance
,expectant,beyond immediate medical capability,medical,Medical,,,,medical
,SSO,security officer,general,technical,,,,operations
,asset,confidential source / information provider,intelligence,Intelligence,,,,intelligence
,indoctrination,security orientation and access briefing,intelligence,Intelligence,,,,intelligence
,DOD,Department of Defense,general,Acronym,,,,operations
,taxi,ground movement of aircraft,aviation,Aviation,,,,operations
,NJP,Non-Judicial Punishment / disciplinary action,general,Acronym,,,,operations
,PME,Professional Military Education / professional development,general,Acronym,,,,operations
,DCTT,emergency response training team,navy,technical,,,,operations
,execute order,go-ahead directive / implementation order,general,Term,,,,operations
,AR,policy regulation,army,admin,,,,admin
,clemency,sentence reduction / penalty mitigation,legal,Legal,,,,legal
,COIN,counterinsurgency / population-centric stability operations,general,Special Operations,,,,operations
,OIC,Officer in Charge / department head,general,Acronym,,,,operations
,organic,internally owned / in-house,general,Term,,,,operations
,spin up,prepare rapidly / get up to speed,general,Term,,,,operations
,PMS,preventive maintenance,navy,technical,,,,operations
,consumption rate,usage rate / burn rate,logistics,Logistics,,,,logistics
,PMC,partially mission capable / partially operational,aviation,Aviation,,,,operations
,DLR,repairable component,navy,technical,,,,operations
,PFA,Physical Fitness Assessment,general,Acronym,,,,operations
,pre-deployment,pre-project / preparation phase,general,Term,,,,operations
,fireteam,small team / work group of 4,general,Term,,,,operations
,KO,contracting officer / procurement authority,logistics,Acquisition,,,,operations
,troop,soldier / staff member,general,Term,,,,operations
,MRE,Meal Ready to Eat / field rations,general,Acronym,,,,operations
,medevac,medical evacuation / emergency transport,general,Term,,,,operations
,war reserve,emergency stockpile / strategic reserve,logistics,Logistics,,,,logistics
,JFTR,Joint Federal Travel Regulation,general,Acronym,,,,operations
,sea duty,deployable assignment / field position,general,Term,,,,operations
,military judge,presiding judicial officer,legal,Legal,,,,legal
,privacy act,personal data protection regulation,legal,Legal,,,,legal
,COTS,commercial off-the-shelf,general,Acronym,,,,operations
,market research,vendor and industry analysis,logistics,Acquisition,,,,operations
,mine clearance,explosive ordnance removal / minefield remediation,engineering,Engineering,,,,operations
,SQ,Employee of the Quarter,navy,awards,,,,operations
,transfer,relocation / reassignment,general,admin,,,,admin
,operational tempo,work pace / activity level,general,Term,,,,operations
,1SG (First Sergeant),Operations Manager,army,Rank,,,,operations
,chit,request form / approval document,general,Term,,,,operations
,demand history,usage trend / historical consumption data,logistics,Logistics,,,,logistics
,EEO,Equal Employment Opportunity,general,Acronym,,,,operations
,TSgt (Technical Sergeant),Senior Supervisor,usaf,Rank,,,,operations
,MILPERSMAN,personnel policy manual,navy,admin,,,,admin
,LtCol (Lieutenant Colonel),Senior Director,usmc,Rank,,,,operations
,issue,distribute / provide from stock,logistics,Logistics,,,,logistics
,general quarters,emergency response / all-hands situation,general,Term,,,,operations
,source selection,vendor evaluation and selection process,logistics,Acquisition,,,,operations
,technical evaluation,capability assessment,logistics,Acquisition,,,,operations
,all hands,all employees / full staff,navy,general,,,,operations
,battle stations,emergency response protocol,general,operations,,,,operations
,bulkhead,wall,navy,general,,,,operations
,DPW,director of public works / facilities management director,engineering,Engineering,,,,operations
,IDES,integrated disability evaluation system / medical disability review process,medical,Medical,,,,medical
,will preparation,estate planning document / legal testament drafting,legal,Legal,,,,legal
,RIMPAC,Rim of the Pacific Exercise,general,Acronym,,,,operations
,walking wounded,ambulatory injured / self-mobile patient,medical,Medical,,,,medical
,warrant officer,technical expert / senior specialist,general,Term,,,,operations
,CYBERSEC,cybersecurity,general,technical,,,,operations
,OPNAV,Office of the Chief of Naval Operations,general,Acronym,,,,operations
,MARADMIN,Marine Administrative Message,general,Acronym,,,,operations
,redline,critical threshold / do-not-exceed limit,general,Term,,,,operations
,legal assistance,pro bono legal services / employee legal aid,legal,Legal,,,,legal
,LOR,letter of reprimand / written disciplinary warning,personnel,Personnel,,,,operations
,JKO,online learning platform,general,training,,,,leadership
,UAV,unmanned aerial vehicle / drone,general,Acronym,,,,operations
,marshalling,aircraft ground guidance / directing vehicle movement,aviation,Aviation,,,,operations
,TCCC,tactical combat casualty care / battlefield emergency medicine,medical,Medical,,,,medical
,small business set-aside,reserved competition for small businesses,logistics,Acquisition,,,,operations
,FLIR,thermal imaging / infrared camera,general,Equipment,,,,operations
,cost analysis,pricing review / financial evaluation,logistics,Acquisition,,,,operations
,AFB,Air Force Base / facility,general,Acronym,,,,operations
,mission ready,prepared / operational / qualified,general,Term,,,,operations
,jury panel,deliberation panel / jury members,legal,Legal,,,,legal
,ACDU,active duty,general,Acronym,,,,operations
,BASH,bird/wildlife aircraft strike hazard / wildlife collision prevention,aviation,Aviation,,,,operations
,deck,floor,navy,general,,,,operations
,need-to-know,access restricted to relevant personnel,intelligence,Intelligence,,,,intelligence
,NCOER support form,performance planning document,army,admin,,,,admin
,security classification guide,information protection policy document,logistics,Acquisition,,,,operations
,OSI,Office of Special Investigations,general,Acronym,,,,operations
,fraternization,inappropriate workplace relationship,general,Term,,,,operations
,underway,in progress / actively operating,general,Term,,,,operations
,platoon sergeant,operations supervisor,army,leadership,,,,leadership
,SONAR,underwater detection systems / acoustic sensors,general,Equipment,,,,operations
,COSAL,parts inventory system,navy,technical,,,,operations
,MILPER,military personnel,general,Acronym,,,,operations
,augmentee,temporary additional staff,general,admin,,,,admin
,warning order,advance notice / heads-up notification,general,Term,,,,operations
,family separation allowance,deployment family supplement,financial,Financial,,,,finance
,Green Beret,Army Special Forces soldier,general,Special Operations,,,,operations
,CQ,charge of quarters / after-hours supervisor,army,operations,,,,operations
,restriction,limited privileges / probation,general,Term,,,,operations
,confinement,imprisonment / incarceration,legal,Legal,,,,legal
,staff duty,after-hours duty officer,army,operations,,,,operations
,HQDA,Headquarters Department of the Army,general,Acronym,,,,operations
,incident response,cybersecurity event management / breach response,cyber,Cyber,,,,cyber
,officer,manager / executive,general,Term,,,,operations
,range qualified,certified in weapons safety,general,training,,,,leadership
,touchpoint,check-in meeting / coordination point,general,Term,,,,operations
,FST,forward surgical team / mobile surgical unit,medical,Medical,,,,medical
,tactical intelligence,operational-level analysis,intelligence,Intelligence,,,,intelligence
,flight lead,team leader / mission commander,aviation,Aviation,,,,operations
,AFLOAT,Shipboard / Maritime Operations,navy,operations,,,,operations
,lane,area of responsibility / designated role,general,Term,,,,operations
,enabler,support resource / capability multiplier,general,Term,,,,operations
,CONOPS,concept of operations / operational plan,general,planning,,,,operations
,mishap,workplace accident / safety incident,safety,Safety,,,,operations
,JCS,Joint Chiefs of Staff,general,Acronym,,,,operations
,POW,prisoner of war,general,Acronym,,,,operations
,CO,Commanding Officer / director / executive,general,Acronym,,,,operations
,FEDLOG,federal logistics data / government supply catalog,logistics,Logistics,,,,logistics
,wellness check,employee welfare check / mental health screening,medical,Medical,,,,medical
,PT formation,mandatory fitness session,army,training,,,,leadership
,corpsman,combat medic / field medical technician,medical,Medical,,,,medical
,ground truth,verified information / confirmed data,general,Term,,,,operations
,slate,assignment recommendations / position matching list,personnel,Personnel,,,,operations
,dry hole,empty target / unsuccessful operation,general,Special Operations,,,,operations
,ASI,additional skill identifier,army,admin,,,,admin
,turn time,aircraft servicing interval / turnaround time,aviation,Aviation,,,,operations
,radio check,communications test / signal verification,communications,Communications,,,,operations
,courts martial,military trial / judicial proceeding,legal,Legal,,,,legal
,psychological operations,influence operations / strategic communications,general,Special Operations,,,,operations
,contract modification,contract amendment / change order,logistics,Acquisition,,,,operations
,command,organization / business unit / department,general,Term,,,,operations
,SJA,Staff Judge Advocate / legal counsel,general,Acronym,,,,operations
,ready for issue,available for distribution / in serviceable condition,logistics,Logistics,,,,logistics
,professional development,training / career growth,general,Term,,,,operations
,counseling statement,documented performance feedback,army,admin,,,,admin
,reveille,wake up call / start of day,general,Term,,,,operations
,trial counsel,prosecutor / government attorney,legal,Legal,,,,legal
,space management,facility allocation / workspace planning,engineering,Engineering,,,,operations
,CDR (Commander),Senior Director / Division Head,navy,Rank,,,,operations
,SEJPME,senior enlisted joint professional education,general,training,,,,leadership
,ESWS,organizational qualification program,navy,training,,,,leadership
,environmental compliance,EPA/regulatory adherence,engineering,Engineering,,,,operations
,real property,government-owned buildings and land / physical assets,engineering,Engineering,,,,operations
,receipt,delivery acceptance / receiving confirmation,logistics,Logistics,,,,logistics
,redistribution,reallocation / inventory redistribution,logistics,Logistics,,,,logistics
,UST,underground storage tank management,engineering,Engineering,,,,operations
,LCpl (Lance Corporal),Staff Member,usmc,Rank,,,,operations
