id,military_phrase,civilian_phrase,branch,category,context_notes,created_at,job_family
,served as repair locker leader,served as emergency response team leader,navy,operations,,,operations
,briefed flag officers,presented to C-suite executives,navy,communication,,,operations
,received Joint Service Achievement Medal,received joint organization achievement award,general,admin,,,admin
,brief down,communicate to the team,general,Communication,,,operations
,took the helm,assumed executive leadership,navy,Leadership,,,leadership
,hand-selected for,competitively selected for,general,Leadership,,,leadership
,intelligence fusion,multi-source data integration and analysis,general,intel,,,operations
,medical treatment facility,healthcare facility / clinic,general,medical,,,medical
,shaping operations,preparatory activities / preliminary operations,general,operations,,,operations
,HAZMAT locker,hazardous materials storage facility,general,Safety,,,operations
,corrective action,performance improvement action,general,admin,,,admin
,perfect score,achieved maximum score,general,performance,,,operations
,delivered on time and on target,completed all deliverables on schedule and within scope,general,Performance,,,operations
,corrective action report,corrective and preventive action documentation,general,Safety,,,operations
,information brief,informational presentation with no decision required,general,Communication,,,operations
,safety officer,safety compliance manager,general,safety,,,operations
,PMCS,preventive maintenance checks and services,army,Equipment,,,operations
,signals intelligence,electronic data collection and analysis,general,intel,,,operations
,troop leading procedures,team planning and execution methodology,general,leadership,,,leadership
,radio operator,communications specialist / radio technician,general,comms,,,operations
,promote immediately,strongest recommendation for accelerated advancement,general,performance,,,operations
,right-hand man,primary deputy,general,Leadership,,,leadership
,counterintelligence,security threat mitigation / insider threat prevention,general,intel,,,operations
,courts-martial proceedings,formal legal proceedings / adjudication,general,legal,,,legal
,disaster relief operations,natural disaster emergency response operations,general,operations,,,operations
,served as NCOIC,served as section noncommissioned officer in charge,usaf,leadership,,,leadership
,casualty report,critical equipment failure report,navy,technical,,,operations
,offensive cyber operations,penetration testing / red team operations,general,cyber,,,cyber
,COSAL allowance,authorized equipment and parts list,navy,Equipment,,,operations
,controlled inventory item,high-value item requiring special tracking,general,Equipment,,,operations
,acquisition management,procurement management / purchasing oversight,general,financial,,,finance
,earned SNCO of the Quarter,selected as senior manager of the quarter,usaf,performance,,,operations
,saved man-hours,reduced labor hours,general,performance,,,operations
,broke down barriers,removed organizational obstacles,general,Leadership,,,leadership
,execute order,authorization to proceed,general,Operations,,,operations
,SCBA qualified,self-contained breathing apparatus certified,navy,training,,,leadership
,served as flight chief,served as section supervisor for 20-50 personnel,usaf,leadership,,,leadership
,master training specialist,certified master-level instructor,navy,training,,,leadership
,earned NCO of the Quarter,selected as supervisor of the quarter,usaf,performance,,,operations
,OPPE results,operational readiness evaluation results,navy,compliance,,,admin
,EOC operations,emergency operations center management,general,Operations,,,operations
,force health protection,occupational health and safety program,general,medical,,,medical
,mine countermeasures,underwater threat detection and neutralization,navy,operations,,,operations
,participated in MEU deployment,participated in expeditionary deployment operations,usmc,operations,,,operations
,government purchase card program,corporate purchasing card program / procurement card management,general,financial,,,finance
,aircrew coordination,flight crew resource management,general,aviation,,,operations
,maintained motor pool,maintained vehicle fleet maintenance facility,army,technical,,,operations
,prepared naval messages,drafted executive communications,navy,communication,,,operations
,earned Combat Infantry Badge,earned combat operations qualification badge,army,training,,,leadership
,supported MAGTF operations,supported multi-element combined operations,usmc,operations,,,operations
,DC drill,damage control emergency drill,navy,Safety,,,operations
,exemplary conduct,exemplary professional conduct,general,performance,,,operations
,maintained good order and discipline,upheld professional standards and workplace conduct,general,Leadership,,,leadership
,transformed the organization,led organizational change and restructuring,general,Leadership,,,leadership
,contingency operations,emergency response operations,general,Operations,,,operations
,bench stock,commonly used parts kept at the work center,general,Equipment,,,operations
,sea duty,operational assignment,navy,Operations,,,operations
,route clearance,road safety inspection / route survey operations,general,engineering,,,operations
,command duty officer,senior on-call manager,general,Leadership,,,leadership
,qualified as CDO,certified as after-hours senior facility manager,navy,operations,,,operations
,combat zone,high-risk operational environment,general,operations,,,operations
,main body,primary workforce,general,Operations,,,operations
,risk mitigation,risk mitigation,general,safety,,,operations
,communications watch,network monitoring shift / communications monitoring duty,general,comms,,,operations
,developed subordinates,coached and developed direct reports,general,Leadership,,,leadership
,in port,at home station,navy,Operations,,,operations
,PRT,physical readiness test or fitness assessment,navy,Medical,,,medical
,turned around,reversed declining performance,general,Performance,,,operations
,decision brief,presentation requiring leadership decision,general,Communication,,,operations
,mass casualty drill,mass casualty incident exercise,general,training,,,leadership
,enforced standards,ensured compliance with organizational policies,general,Leadership,,,leadership
,FOD walkdown,foreign object debris prevention inspection,general,Safety,,,operations
,sailor of the year,employee of the year,navy,Leadership,,,leadership
,board eligible,met all requirements for advancement,general,Training,,,leadership
,cold iron,complete system shutdown,navy,technical,,,operations
,deployment health assessment,pre- and post-assignment medical screening,general,Medical,,,medical
,served as UDM,served as unit deployment manager,usaf,operations,,,operations
,underway,during operations,navy,Operations,,,operations
,NCOER,noncommissioned officer performance evaluation,army,Admin,,,admin
,advance party,advance planning team,general,Operations,,,operations
,suspense date,deadline for completion,general,Communication,,,operations
,boots on ground,on-site presence,general,operations,,,operations
,anti-terrorism,threat prevention and force protection,general,security,,,operations
,Class VII supplies,major end items and capital equipment,general,Equipment,,,operations
,AIT graduate,completed advanced individual training program,army,Training,,,leadership
,on hand,currently in stock,general,Equipment,,,operations
,earned Combat Action Ribbon,earned combat operations recognition,usmc,performance,,,operations
,drafted OPORD,developed operational execution plan,general,communication,,,operations
,word from on high,direction from senior leadership,general,Communication,,,operations
,selected as Senior Sailor of the Year,selected as senior employee of the year,navy,performance,,,operations
,white paper,detailed research and recommendation document,general,Communication,,,operations
,wrote evaluations for,authored performance reviews for,general,admin,,,admin
,coalition operations,multinational partnership operations,general,Operations,,,operations
,rules of engagement,operating guidelines / standard engagement protocols,general,legal,,,legal
,processed 4187s,processed personnel action requests,army,admin,,,admin
,flight scheduling,aircraft scheduling / operations planning,general,aviation,,,operations
,PSD,personnel support detachment or HR office,navy,Admin,,,admin
,deployment cycle,operational rotation,general,Operations,,,operations
,mishap investigation,incident investigation and root cause analysis,general,Safety,,,operations
,conducted proficiency training,delivered skills-based professional development,general,training,,,leadership
,cleared the path,eliminated roadblocks for the team,general,Leadership,,,leadership
,permanent change of station,permanent relocation / corporate transfer,general,admin,,,admin
,combat stress,work-related stress and mental health concern,general,Medical,,,medical
,FEP,fitness enhancement program,navy,Medical,,,medical
,recall roster,emergency contact notification list,general,Operations,,,operations
,DEFCON,defense readiness condition,general,Operations,,,operations
,scored 300 on APFT,achieved maximum score on physical fitness assessment,army,performance,,,operations
,horizontal construction,road and runway construction / earthwork operations,general,engineering,,,operations
,trained to standard,trained to meet all certification requirements,general,training,,,leadership
,trained and ready to deploy,fully onboarded and prepared for assignment,general,Leadership,,,leadership
,completed ALS,completed initial leadership development course,usaf,training,,,leadership
,completed PMS on schedule,completed all scheduled preventive maintenance on time,navy,technical,,,operations
,DRMO,surplus property disposal,general,Equipment,,,operations
,turnover,transition of responsibilities,general,Operations,,,operations
,investigations officer,internal investigations manager / compliance investigator,general,legal,,,legal
,selected as Junior Sailor of the Year,selected as junior employee of the year,navy,performance,,,operations
,earned Combat Action Badge,earned combat operations qualification badge,army,training,,,leadership
,conducted PMCS,performed preventive maintenance checks and services,army,technical,,,operations
,attended ALC,completed mid-level supervisor leadership course,army,training,,,leadership
,CO2 system,carbon dioxide fire suppression system,navy,technical,,,operations
,maintained Zone Inspection readiness,maintained ongoing facility inspection readiness,navy,compliance,,,admin
,razor sharp,highly precise and detail-oriented,general,Performance,,,operations
,ran drills,conducted emergency preparedness exercises,general,training,,,leadership
,quarters,unit formation or team meeting,general,Admin,,,admin
,freedom of navigation,international maritime patrol operations,navy,operations,,,operations
,OJT complete,completed on-the-job training,general,Training,,,leadership
,peacekeeping operations,stability and support operations,general,Operations,,,operations
,championed the cause,advocated for the initiative,general,Leadership,,,leadership
,shore duty,headquarters or support assignment,navy,Operations,,,operations
,turn-in,returned equipment to supply,general,Equipment,,,operations
,received flag letter,received written recognition from executive leadership,general,admin,,,admin
,administered PQS,administered professional qualification program,navy,training,,,leadership
,owned the battlespace,managed all operations within the assigned area,general,Leadership,,,leadership
,OCONUS,outside the continental United States,general,Operations,,,operations
,records management,document management / records retention,general,admin,,,admin
,served as SAPR VA,served as sexual assault prevention and response victim advocate,navy,admin,,,admin
,voting assistance officer,employee civic engagement coordinator,general,Admin,,,admin
,can-do attitude,"positive, results-oriented approach",general,Performance,,,operations
,empowered junior leaders,empowered emerging leaders through delegation,general,Leadership,,,leadership
,improved readiness,improved operational availability,general,performance,,,operations
,class A mishap,severity level 1 incident with major loss,general,Safety,,,operations
,performs at the next higher paygrade,performs at the next organizational level,general,performance,,,operations
,shipmate of the quarter,employee of the quarter,navy,Leadership,,,leadership
,inspired warfighters,motivated team members to achieve objectives,general,Leadership,,,leadership
,exceeded the standard,surpassed performance benchmarks,general,Performance,,,operations
,quad chart,four-quadrant visual summary,general,Communication,,,operations
,theater of operations,regional area of business operations,general,Operations,,,operations
,open purchase,commercial off-the-shelf procurement,general,Equipment,,,operations
,SPOTREP,spot report or incident notification,general,Communication,,,operations
,war college graduate,completed executive leadership program,general,Training,,,leadership
,unlimited potential,demonstrates exceptional growth potential,general,performance,,,operations
,force beddown,temporary facility setup / rapid site establishment,general,engineering,,,operations
,served as team leader,served as front-line team supervisor,army,leadership,,,leadership
,operation and maintenance funds,operating budget / O&M budget,general,financial,,,finance
,equal opportunity advisor,equal employment opportunity specialist,general,Admin,,,admin
,battle tested,proven in high-pressure environments,general,Performance,,,operations
,zone inspection,facility/area compliance inspection,navy,compliance,,,admin
,forward deployed,stationed in operational area,general,Operations,,,operations
,24/7 operations,around-the-clock operations / continuous coverage,general,operations,,,operations
,top of the class,ranked first among peers,general,Performance,,,operations
,training cycle,professional development schedule / learning cycle,general,training,,,leadership
,zero loss rate,achieved zero inventory loss,general,Performance,,,operations
,page 13 counseling,documented performance counseling session,navy,admin,,,admin
,operational readiness rate,equipment availability rate / uptime percentage,general,performance,,,operations
,negative,no or not confirmed,general,Communication,,,operations
,took the helm,assumed leadership of / took charge of,general,leadership,,,leadership
,PMS,planned maintenance system,navy,Equipment,,,operations
,demobilized from,returned from deployment/activation,general,operations,,,operations
,plugman,structural damage containment specialist,navy,operations,,,operations
,master fitness trainer,certified physical fitness program leader,army,Medical,,,medical
,barrier plan,perimeter security design / access control plan,general,engineering,,,operations
,met every milestone,achieved all project milestones on schedule,general,Performance,,,operations
,ACFT,army combat fitness test,army,Medical,,,medical
,sick call,walk-in medical appointment,general,Medical,,,medical
,selection board,promotion review panel / selection committee,general,training,,,leadership
,combat training center rotation,intensive field training exercise / major training event,general,training,,,leadership
,sponsor,onboarding coordinator for incoming employees,general,Admin,,,admin
,answered the call,responded to critical organizational need,general,Leadership,,,leadership
,achieved mission success,successfully completed all objectives,general,performance,,,operations
,earned 7-level,achieved craftsman-level technical certification,usaf,training,,,leadership
,remedial training,corrective performance coaching,general,training,,,leadership
,served in hostile fire zone,served in hazardous duty environment,general,operations,,,operations
,nailed the inspection,achieved outstanding inspection results,general,Performance,,,operations
,received Bronze Star Medal,received senior-level achievement/service award,general,admin,,,admin
,area of responsibility,assigned territory / managed region,general,operations,,,operations
,in-rate training,specialty-specific professional development,navy,Training,,,leadership
,aviation safety program,flight safety management system,general,aviation,,,operations
,mission capable rate,operational availability rate,general,compliance,,,admin
,open door policy,accessible leadership communication policy,general,Communication,,,operations
,geospatial intelligence,geographic information systems analysis / location-based analytics,general,intel,,,operations
,top block evaluation,highest possible performance rating,general,performance,,,operations
,managed departmental 3M program,managed department-level preventive maintenance program,navy,technical,,,operations
,TAP/TAPS,transition assistance program,general,Admin,,,admin
,combat leadership,leadership under high-pressure conditions,general,leadership,,,leadership
,assumed the watch,took over shift operations,navy,operations,,,operations
,served as EKMS manager,served as electronic key/encryption material manager,navy,security,,,operations
,ahead of schedule,completed before the deadline,general,Performance,,,operations
,area denial operations,restricted access zone management,general,operations,,,operations
,achieved first class PFT,achieved top-tier physical fitness rating,usmc,performance,,,operations
,force multiplier,high-impact contributor / productivity amplifier,general,performance,,,operations
,qualified ahead of peers,achieved certification ahead of timeline,general,Training,,,leadership
,received unit citation,received organizational excellence award,general,admin,,,admin
,demolition operations,controlled demolition / structural demolition,general,engineering,,,operations
,pipeline,training program,general,Training,,,leadership
,participated in CPO 365,participated in year-long leadership development program,navy,training,,,leadership
,mentored up-and-comers,mentored high-potential employees,general,Leadership,,,leadership
,exceeded all metrics,surpassed all key performance indicators,general,Performance,,,operations
,tactical communications,field communications / mobile communications systems,general,comms,,,operations
,hot seat qualified,certified for primary operator role,general,Training,,,leadership
,deckplate leadership,hands-on operational leadership,navy,leadership,,,leadership
,managed a section of,managed a team of,general,leadership,,,leadership
,awarded Navy Commendation Medal,received superior performance award,navy,admin,,,admin
,an exceptional communicator,an exceptional communicator at all organizational levels,general,performance,,,operations
,mishap,workplace incident,general,Safety,,,operations
,battle handover,operational shift transition brief,general,Operations,,,operations
,secured the plant,performed controlled system shutdown,navy,technical,,,operations
,served as battalion commander,served as division/regional director,army,leadership,,,leadership
,held accountable,maintained team accountability for results,general,Leadership,,,leadership
,served as ISSM,served as information system security manager,navy,security,,,operations
,safety walkthrough,safety compliance inspection,general,Safety,,,operations
,preventive medicine,preventive health services / occupational health,general,medical,,,medical
,on the mark,met all specified targets and standards,general,Performance,,,operations
,non-judicial punishment,administrative disciplinary action,general,legal,,,legal
,safety stand-down,organization-wide safety review day,general,safety,,,operations
,meritorious mast,formal recognition ceremony,navy,Admin,,,admin
,served as department head,served as senior department director,navy,leadership,,,leadership
,reported directly to,reported directly to,general,leadership,,,leadership
,wrote NCOERs,authored employee performance evaluations,army,admin,,,admin
,kept the division on track,maintained department alignment with goals,general,Leadership,,,leadership
,awarded Air Force Commendation Medal,received superior performance award,usaf,admin,,,admin
,soldier of the month,employee of the month,army,Leadership,,,leadership
,medical hold,held at current assignment pending medical evaluation,general,Medical,,,medical
,served as UFPM,served as unit fitness program manager,usaf,admin,,,admin
,three-section duty,three-shift rotation schedule,navy,Operations,,,operations
,zero disciplinary issues,maintained clean disciplinary record,general,performance,,,operations
,target development,priority identification / target market analysis,general,intel,,,operations
,combat medic,emergency medical technician / field paramedic,general,medical,,,medical
,interagency operations,multi-agency government operations,general,operations,,,operations
,set the example,served as a role model / established best practices,general,performance,,,operations
,all hands,organization-wide or all-personnel,navy,Communication,,,operations
,reduction in rate,demotion,general,admin,,,admin
,commanded a detachment,managed an independent work group,general,leadership,,,leadership
,on order,ordered and pending delivery,general,Equipment,,,operations
,patient administration,patient records management / healthcare administration,general,medical,,,medical
,deployed in support of,assigned to support,general,operations,,,operations
,special staff officer,specialized advisor / subject matter expert,general,leadership,,,leadership
,shift work,rotating shift schedule management,general,Operations,,,operations
,led from the front,led by example in high-pressure situations,general,leadership,,,leadership
,received NJP,received formal disciplinary action,general,admin,,,admin
,administrative law,regulatory compliance / administrative policy,general,legal,,,legal
,nozzleman,primary fire suppression operator,navy,operations,,,operations
,reported aboard,joined the organization,navy,admin,,,admin
,served as khaki mentor,served as leadership mentor for management candidates,navy,leadership,,,leadership
,awarded restriction,received workplace restriction as discipline,general,admin,,,admin
,completed SWOS training,completed surface warfare officer training,navy,training,,,leadership
,enlisted record brief,employee profile / personnel summary,general,admin,,,admin
,served as departmental 3M assistant,served as department maintenance manager,navy,technical,,,operations
,consistently exceeded expectations,routinely surpassed performance goals,general,Performance,,,operations
,NEC holder,holds specialized professional credential,navy,Training,,,leadership
,completed shore tour,completed headquarters/support assignment,navy,operations,,,operations
,under budget,completed under budget,general,performance,,,operations
,completed ACSC,completed intermediate-level officer professional school,usaf,training,,,leadership
,respiratory protection program,respiratory safety and equipment program,general,Safety,,,operations
,JHA,job hazard analysis,general,Safety,,,operations
,battle E award,organizational excellence award,navy,Performance,,,operations
,served as squad leader,supervised 13-person operational team,usmc,leadership,,,leadership
,processed evals,completed employee performance evaluations,navy,admin,,,admin
,welcome aboard package,new hire onboarding materials,navy,Admin,,,admin
,earned Pathfinder qualification,completed advanced navigation and air traffic certification,army,training,,,leadership
,air assault qualified,completed air assault operations training,army,Training,,,leadership
,warfare qualified,specialty operations certified,general,training,,,leadership
,man overboard drill,personnel recovery exercise,navy,training,,,leadership
,hand-picked for,selected from competitive pool for,general,leadership,,,leadership
,completed Sergeants Course,completed team leader development course,usmc,training,,,leadership
,increased efficiency,improved operational efficiency,general,performance,,,operations
,C school graduate,completed advanced technical training,navy,Training,,,leadership
,held the line,maintained standards under pressure,general,Leadership,,,leadership
,fleet-up,promoted into next-level role / advanced within the team,general,training,,,leadership
,earned Distinguished Graduate,graduated at top of class,usaf,performance,,,operations
,vertical construction,building construction / structural construction,general,engineering,,,operations
,under instruction,in training,general,Training,,,leadership
,separation date,employment end date,general,Admin,,,admin
,served as battle captain,served as operations shift lead,general,leadership,,,leadership
,selected for Chief Petty Officer,selected for senior management promotion,navy,performance,,,operations
,cannibalize,sourced parts from another unit or system,general,Equipment,,,operations
,medical surveillance,occupational health monitoring / health screening,general,medical,,,medical
,passed ATG assessment,passed external readiness assessment,navy,compliance,,,admin
,served as LCPO,served as department supervisor,navy,leadership,,,leadership
,EPR,enlisted performance report,usaf,Admin,,,admin
,commanders intent,leadership vision and desired end state,general,Communication,,,operations
,shelf life item,item with expiration-based inventory management,general,Equipment,,,operations
,served as DCPO,served as safety/damage control petty officer,navy,leadership,,,leadership
,lessons learned,post-project improvement findings,general,Operations,,,operations
,relief in place,personnel replacement and handover,general,Operations,,,operations
,knows no boundaries,demonstrates exceptional initiative,general,Leadership,,,leadership
,APFT,physical fitness test,army,Medical,,,medical
,NEC qualified,earned additional specialty certification code,navy,training,,,leadership
,liaison with,coordinated with,general,communication,,,operations
,qualified as EOOW,certified as engineering operations shift supervisor,navy,operations,,,operations
,train the trainer certified,certified as instructor of instructors,general,Training,,,leadership
,AOR,assigned area of responsibility,general,Operations,,,operations
,passed with zero findings,achieved full compliance with no deficiencies,general,performance,,,operations
,for your SA,for your situational awareness,general,Communication,,,operations
,secured space,restricted access facility,general,security,,,operations
,received Joint Service Commendation Medal,received joint organization superior performance award,general,admin,,,admin
,force protection,personnel and facility security,general,Operations,,,operations
,integrated operations,multi-organization coordinated operations,general,operations,,,operations
,earned Safety S,earned safety excellence recognition,navy,safety,,,operations
,watch rotation,shift rotation schedule,navy,Operations,,,operations
,earned Surface Warfare designation,earned surface operations warfare qualification,navy,training,,,leadership
,completed ESWS board,passed comprehensive oral qualification board,navy,training,,,leadership
,stepped up,assumed additional responsibilities,general,Leadership,,,leadership
,administrative action,formal administrative disciplinary process,general,admin,,,admin
,purchase request,procurement authorization form,general,Equipment,,,operations
,LIMDU,limited duty status due to medical condition,navy,Medical,,,medical
,MRC,maintenance requirement card or procedure,navy,Equipment,,,operations
,shattered records,exceeded all historical performance records,general,Performance,,,operations
,draw,issued equipment from supply,general,Equipment,,,operations
,ORM assessment,operational risk management assessment,general,safety,,,operations
,awarded Navy Achievement Medal,received organizational achievement award,navy,admin,,,admin
,dual qualified,dual certified in two specialties,general,training,,,leadership
,zero defects,zero-error performance,general,Performance,,,operations
,rallied the team,motivated and aligned the team,general,Leadership,,,leadership
,order of battle analysis,competitive landscape analysis / organizational assessment,general,intel,,,operations
,conducted counseling,provided performance feedback and coaching,general,admin,,,admin
,maintained hand receipts,maintained property accountability documentation,army,admin,,,admin
,safety climate survey,workplace safety culture assessment,general,Safety,,,operations
,conducted pre-deployment training,delivered pre-project mobilization training,general,training,,,leadership
,installed and maintained communication systems,deployed and maintained telecommunications infrastructure,general,comms,,,operations
,led the charge,spearheaded the initiative,general,Leadership,,,leadership
,closed the gap,eliminated the performance deficit,general,Performance,,,operations
,top performer in the division,highest-rated employee in the department,general,Leadership,,,leadership
,ready now for increased responsibility,immediately qualified for advancement,general,performance,,,operations
,served as damage control petty officer,served as division safety coordinator,navy,safety,,,operations
,port operations,maritime terminal operations,navy,Operations,,,operations
,Class II supplies,clothing and individual equipment,general,Equipment,,,operations
,PMC,partially mission capable or limited capability,general,Equipment,,,operations
,completed sea tour,completed operational/field assignment,navy,operations,,,operations
,command investigation,internal investigation / workplace inquiry,general,legal,,,legal
,IPAC,personnel administration center,usmc,Admin,,,admin
,water walker,exceptionally high performer,navy,Performance,,,operations
,information assurance,information security / data protection compliance,general,cyber,,,cyber
,frequency management,spectrum management / radio frequency coordination,general,comms,,,operations
,conducted UCI preparation,prepared organization for compliance inspection,usaf,compliance,,,admin
,CGSC graduate,completed intermediate leadership education,army,Training,,,leadership
,served as first sergeant,served as senior enlisted advisor and personnel manager,usaf,leadership,,,leadership
,peak performance,optimal operational output,general,Performance,,,operations
,inventory reconciliation,physical count verification against records,general,Equipment,,,operations
,maintained operational tempo,sustained high-volume workflow / kept pace of operations,general,performance,,,operations
,attended SGM Academy,completed executive-level leadership course,army,training,,,leadership
,retrograde of equipment,equipment return and redistribution,general,logistics,,,logistics
,field maintenance operations,on-site equipment maintenance / mobile repair operations,general,logistics,,,logistics
,attended WLC/BLC,completed first-line supervisor leadership course,army,training,,,leadership
,NIIN,national item identification number,general,Equipment,,,operations
,hearing conservation program,occupational hearing protection program,general,Safety,,,operations
,crushed it,delivered exceptional results,general,Performance,,,operations
,captain's mast,administrative disciplinary hearing,navy,Admin,,,admin
,combat engineering,construction and demolition engineering / field engineering,general,engineering,,,operations
,action item,assigned task requiring completion,general,Communication,,,operations
,completed Army readiness training,completed organizational readiness certification,army,training,,,leadership
,received CSMC score of,received maintenance readiness score of,navy,compliance,,,admin
,risk mitigation plan,risk reduction strategy,general,Safety,,,operations
,increased retention,improved employee retention,general,performance,,,operations
,#1 of all E-6s,ranked #1 among all mid-level supervisors,navy,performance,,,operations
,joint operations,multi-department collaborative operations,general,Operations,,,operations
,ready for tasking,prepared and available for any assignment,general,Performance,,,operations
,dialed in,precision-focused,general,Performance,,,operations
,issue and receipt,distribution and receiving operations,general,logistics,,,logistics
,battle update brief,operational status meeting,general,Operations,,,operations
,family readiness group,employee family support organization,army,Admin,,,admin
,maintained 100% accountability,maintained full inventory accuracy,general,Performance,,,operations
